Gene stable ID,Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene type
ENSG00000182798,MAGEB17,16167481,16171464,X,protein_coding
ENSG00000229310,RPP40P1,25591353,25591808,X,processed_pseudogene
ENSG00000232834,,27847588,27847939,X,processed_pseudogene
ENSG00000235685,,40514895,40515508,X,processed_pseudogene
ENSG00000233663,,35710911,35711942,X,processed_pseudogene
ENSG00000189132,FAM47B,34942796,34944915,X,protein_coding
ENSG00000231235,CTNNBL1P1,46418450,46420079,X,processed_pseudogene
ENSG00000226048,YBX1P8,46684765,46685707,X,processed_pseudogene
ENSG00000181977,PYY3,50156159,50156371,X,processed_pseudogene
ENSG00000271088,,35741600,35744582,X,processed_pseudogene
ENSG00000231750,NANOGP10,43407665,43408559,X,processed_pseudogene
ENSG00000233880,NFYCP1,35761499,35762479,X,processed_pseudogene
ENSG00000233543,CHTF8P1,44633692,44635232,X,processed_pseudogene
ENSG00000230039,CCNYL5,65821255,65822249,X,processed_pseudogene
ENSG00000275681,,21841794,21841961,X,unprocessed_pseudogene
ENSG00000276474,,52326166,52326762,X,processed_pseudogene
ENSG00000215284,CHMP5P1,46725164,46725818,X,processed_pseudogene
ENSG00000177689,MAGEB10,27807990,27823014,X,protein_coding
ENSG00000228345,,27854323,27855353,X,processed_pseudogene
ENSG00000276689,,65786763,65787169,X,processed_pseudogene
ENSG00000271519,,35864858,35869631,X,processed_pseudogene
ENSG00000231772,,42252459,42699385,X,lncRNA
ENSG00000102313,ITIH6,54748918,54798255,X,protein_coding
ENSG00000102043,MTMR8,64268081,64395452,X,protein_coding
ENSG00000237311,,65925836,66001436,X,lncRNA
ENSG00000234570,ZFRP1,62878811,62884842,X,processed_pseudogene
ENSG00000277516,,55520382,55520714,X,unprocessed_pseudogene
ENSG00000008086,CDKL5,18425583,18653629,X,protein_coding
ENSG00000165164,CFAP47,35919734,36385317,X,protein_coding
ENSG00000236852,SSBL2P,62779250,62780326,X,processed_pseudogene
ENSG00000229731,,27811885,27812902,X,processed_pseudogene
ENSG00000268994,FAM236B,72781865,72782660,X,protein_coding
ENSG00000230797,YY2,21855987,21858740,X,protein_coding
ENSG00000233833,ETF1P3,65794345,65795835,X,processed_pseudogene
ENSG00000227261,YWHAZP7,64612632,64613262,X,processed_pseudogene
ENSG00000277499,,63087071,63088664,X,processed_pseudogene
ENSG00000147081,AKAP4,50190777,50201007,X,protein_coding
ENSG00000225664,YWHAZP8,73274785,73275515,X,processed_pseudogene
ENSG00000213754,KPNA4P1,64305047,64306733,X,processed_pseudogene
ENSG00000229168,RPL19P20,44649129,44649719,X,processed_pseudogene
ENSG00000102221,JADE3,46912276,47061242,X,protein_coding
ENSG00000189299,FOXR2,55623400,55626192,X,protein_coding
ENSG00000232794,HNRNPDP1,64044305,64045058,X,processed_pseudogene
ENSG00000217835,RBMXP5,65956289,65957196,X,processed_pseudogene
ENSG00000231944,PHKA1-AS1,72688950,72712348,X,lncRNA
ENSG00000187601,MAGEH1,55452127,55453566,X,protein_coding
ENSG00000270280,SMIM15P1,43000174,43000396,X,processed_pseudogene
ENSG00000236276,NDP-AS1,43949732,43971582,X,lncRNA
ENSG00000283737,,42285130,42285925,X,TEC
ENSG00000233661,SPIN4-AS1,63349646,63352178,X,lncRNA
ENSG00000234135,RPL23AP83,56242937,56243409,X,processed_pseudogene
ENSG00000235136,PSMA5P1,55599663,55600106,X,processed_pseudogene
ENSG00000232186,TERF1P7,75326772,75327999,X,processed_pseudogene
ENSG00000213684,LDHBP2,76334841,76335845,X,processed_pseudogene
ENSG00000235170,MTND1P31,62842542,62843502,X,processed_pseudogene
ENSG00000230311,TOMM20P4,73223124,73223558,X,processed_pseudogene
ENSG00000226502,KRT8P27,64623117,64624573,X,processed_pseudogene
ENSG00000283546,,21131496,21163726,X,lncRNA
ENSG00000250349,,37349330,38687674,X,protein_coding
ENSG00000223707,SFR1P2,85849410,85850139,X,processed_pseudogene
ENSG00000230247,HNRNPH3P1,80529037,80530027,X,processed_pseudogene
ENSG00000230665,THAP12P1,74396871,74399550,X,processed_pseudogene
ENSG00000276897,,52409772,52410432,X,unprocessed_pseudogene
ENSG00000225715,PSMA1P1,80709928,80710705,X,processed_pseudogene
ENSG00000237089,PCNPP4,75537547,75538702,X,processed_pseudogene
ENSG00000271693,,88369343,88369459,X,processed_pseudogene
ENSG00000223574,TPMTP4,86128893,86129570,X,processed_pseudogene
ENSG00000233063,SAR1AP4,75884546,75885136,X,processed_pseudogene
ENSG00000196468,FGF16,77447389,77457278,X,protein_coding
ENSG00000232168,P2RY10BP,79084936,79085848,X,unitary_pseudogene
ENSG00000147183,CPXCR1,88747225,88754785,X,protein_coding
ENSG00000224755,HMGN1P34,78519593,78520186,X,processed_pseudogene
ENSG00000227521,TUBB4BP8,94319038,94320025,X,processed_pseudogene
ENSG00000226484,,36365626,36440292,X,lncRNA
ENSG00000232576,,88908403,88908763,X,processed_pseudogene
ENSG00000237211,SETP4,84755136,84756003,X,processed_pseudogene
ENSG00000274022,,90208895,90209418,X,processed_pseudogene
ENSG00000228182,MTND2P25,62843697,62844306,X,processed_pseudogene
ENSG00000236988,CTDSPL2P1,100149783,100151340,X,processed_pseudogene
ENSG00000223467,CALM1P1,95499604,95500036,X,processed_pseudogene
ENSG00000270268,CORO1CP1,79369364,79370165,X,processed_pseudogene
ENSG00000236365,EIF3MP1,82875649,82875885,X,processed_pseudogene
ENSG00000235061,UBE2V1P7,78554412,78554751,X,processed_pseudogene
ENSG00000231706,CYCSP43,69485343,69485652,X,processed_pseudogene
ENSG00000229667,UBE2V1P9,90289536,90289903,X,processed_pseudogene
ENSG00000174740,PABPC5,91434595,91438584,X,protein_coding
ENSG00000186288,PABPC1L2A,73077276,73079512,X,protein_coding
ENSG00000224065,SRIP2,89367435,89367600,X,processed_pseudogene
ENSG00000174225,ARL13A,100969708,100990831,X,protein_coding
ENSG00000213704,EEF1A1P15,98389512,98390919,X,processed_pseudogene
ENSG00000165288,BRWD3,80669503,80809877,X,protein_coding
ENSG00000271290,COPS8P1,86798598,86799226,X,processed_pseudogene
ENSG00000237506,RPSAP15,87703343,87704203,X,processed_pseudogene
ENSG00000287223,,42723209,42755892,X,lncRNA
ENSG00000229132,EIF4A1P10,92113246,92114461,X,processed_pseudogene
ENSG00000230889,SHC1P1,64432401,64434145,X,processed_pseudogene
ENSG00000158813,EDA,69616067,70039472,X,protein_coding
ENSG00000227581,STAU2P1,90039213,90039834,X,processed_pseudogene
ENSG00000231206,HNRNPA1P25,74473017,74473953,X,processed_pseudogene
ENSG00000288059,,81475532,81498083,X,lncRNA
ENSG00000271433,PPATP2,78699384,78699891,X,processed_pseudogene
ENSG00000236185,HNRNPDLP3,95610578,95610957,X,processed_pseudogene
ENSG00000231478,FCF1P9,86481532,86481813,X,transcribed_processed_pseudogene
ENSG00000232069,RPS29P28,96195477,96195617,X,processed_pseudogene
ENSG00000270308,TEX101P1,99656997,99657381,X,processed_pseudogene
ENSG00000225536,STIP1P3,86084716,86086339,X,processed_pseudogene
ENSG00000232842,KAT7P1,95973328,95974315,X,processed_pseudogene
ENSG00000229946,B3GNT2P1,99886740,99887691,X,processed_pseudogene
ENSG00000231875,,81363268,81364170,X,processed_pseudogene
ENSG00000213698,CAPZA1P3,72727977,72728821,X,processed_pseudogene
ENSG00000073905,VDAC1P1,80929500,80930347,X,processed_pseudogene
ENSG00000236243,RPL6P29,98251679,98252543,X,processed_pseudogene
ENSG00000228051,WBP11P3,80560146,80562054,X,processed_pseudogene
ENSG00000220925,IGBP1-AS2,70148582,70149654,X,lncRNA
ENSG00000270826,USP37P1,93776911,93777384,X,processed_pseudogene
ENSG00000271322,,98348451,98348748,X,processed_pseudogene
ENSG00000276892,,85851575,85851682,X,processed_pseudogene
ENSG00000213695,RPS7P14,74409518,74410100,X,processed_pseudogene
ENSG00000226753,FOXN3P2,75888700,75888888,X,processed_pseudogene
ENSG00000271205,,87723089,87723238,X,processed_pseudogene
ENSG00000198934,MAGEE1,76427710,76431342,X,protein_coding
ENSG00000232735,ATG4AP1,82998699,82999236,X,processed_pseudogene
ENSG00000271094,,95453369,95453581,X,processed_pseudogene
ENSG00000229661,BUD31P2,75201491,75201790,X,processed_pseudogene
ENSG00000232293,PAICSP7,94636663,94639570,X,processed_pseudogene
ENSG00000230592,RPSAP8,100155885,100156773,X,processed_pseudogene
ENSG00000270745,,88982215,88982353,X,processed_pseudogene
ENSG00000206062,,91307781,91308878,X,lncRNA
ENSG00000271157,,88827554,88829858,X,processed_pseudogene
ENSG00000271056,MRPS22P1,87807549,87809883,X,processed_pseudogene
ENSG00000230478,,87425583,87425690,X,processed_pseudogene
ENSG00000227434,RNF19BPX,90209796,90210420,X,processed_pseudogene
ENSG00000236870,POMPP1,83559896,83560312,X,processed_pseudogene
ENSG00000224775,BRAFP1,75582676,75585506,X,unprocessed_pseudogene
ENSG00000230275,SERBP1P4,91560436,91561597,X,processed_pseudogene
ENSG00000226081,USP12PX,90112650,90113706,X,processed_pseudogene
ENSG00000233446,PDK1P2,81600072,81601306,X,processed_pseudogene
ENSG00000225012,,89423738,89446983,X,lncRNA
ENSG00000153779,TGIF2LX,89921908,89922883,X,protein_coding
ENSG00000234322,ST13P18,93287733,93288759,X,processed_pseudogene
ENSG00000232267,ACTR3P2,68771322,68772578,X,processed_pseudogene
ENSG00000215089,KRT18P11,92459670,92460952,X,processed_pseudogene
ENSG00000237873,DLGAP5P2,93042490,93042942,X,processed_pseudogene
ENSG00000225025,KIF4CP,79323446,79325217,X,processed_pseudogene
ENSG00000270759,OOEPP1,39791580,39791904,X,processed_pseudogene
ENSG00000226837,HMGB1P32,98422138,98422809,X,processed_pseudogene
ENSG00000215085,GTF3C6P1,95584303,95584942,X,processed_pseudogene
ENSG00000236190,,86888586,86888816,X,processed_pseudogene
ENSG00000235447,TRAPPC13P1,76655498,76656559,X,processed_pseudogene
ENSG00000279437,,83506023,83509214,X,TEC
ENSG00000182574,CSGALNACT2P1,100956593,100957538,X,processed_pseudogene
ENSG00000228612,HK2P1,80571871,80574607,X,processed_pseudogene
ENSG00000228847,ATP5MC2P4,42098754,42099173,X,processed_pseudogene
ENSG00000271209,BRDTP1,96337236,96337912,X,processed_pseudogene
ENSG00000237014,LRRFIP2P1,73237647,73238709,X,processed_pseudogene
ENSG00000234039,NDUFA5P7,86066227,86066468,X,processed_pseudogene
ENSG00000203262,,96070669,96071778,X,processed_pseudogene
ENSG00000226010,,64144872,64147052,X,processed_pseudogene
ENSG00000170925,TEX13B,107980864,107982370,X,protein_coding
ENSG00000282914,,87707579,87750883,X,lncRNA
ENSG00000226307,HNRNPDLP1,95638375,95638924,X,processed_pseudogene
ENSG00000226119,C3orf49P1,102006883,102007294,X,processed_pseudogene
ENSG00000234702,VDAC1P3,91982655,91983505,X,processed_pseudogene
ENSG00000215070,XRCC6P5,99719364,99721158,X,processed_pseudogene
ENSG00000186675,MAGEE2,75782987,75785254,X,protein_coding
ENSG00000215102,TERF1P4,83748825,83749939,X,processed_pseudogene
ENSG00000213740,SERBP1P1,68783472,68785066,X,processed_pseudogene
ENSG00000231001,CCNB1IP1P3,94776739,94777567,X,processed_pseudogene
ENSG00000237381,NT5DC1P1,93388075,93389497,X,processed_pseudogene
ENSG00000286077,,70037840,70039325,X,lncRNA
ENSG00000047597,XK,37685791,37732130,X,protein_coding
ENSG00000229090,,101720340,101721709,X,processed_pseudogene
ENSG00000270446,RPL34P36,87806433,87806769,X,processed_pseudogene
ENSG00000228519,RANBP1P1,25645722,25646327,X,processed_pseudogene
ENSG00000234130,AP2B1P1,93222220,93225015,X,processed_pseudogene
ENSG00000047648,ARHGAP6,11117651,11665920,X,protein_coding
ENSG00000198414,TATDN2P1,44283916,44286246,X,processed_pseudogene
ENSG00000226854,,75903105,75904858,X,lncRNA
ENSG00000270456,,120981529,120981779,X,processed_pseudogene
ENSG00000224054,,44466691,44468955,X,processed_pseudogene
ENSG00000270583,,95720243,95721144,X,processed_pseudogene
ENSG00000285445,TUSC2P2,92770855,92772091,X,processed_pseudogene
ENSG00000271457,,87143854,87144748,X,processed_pseudogene
ENSG00000274374,TUBAP6,115424064,115425600,X,processed_pseudogene
ENSG00000147082,CCNB3,50202713,50351914,X,protein_coding
ENSG00000235239,ACTRT1P1,128127090,128128212,X,processed_pseudogene
ENSG00000270678,,120932901,120933152,X,processed_pseudogene
ENSG00000196767,POU3F4,83508290,83512127,X,protein_coding
ENSG00000228780,,42150511,42150744,X,processed_pseudogene
ENSG00000228041,EIF3JP1,82497669,82497924,X,processed_pseudogene
ENSG00000284618,,81000150,81004217,X,lncRNA
ENSG00000230543,SNX3P1X,92515323,92515497,X,processed_pseudogene
ENSG00000283594,FAM236C,72912615,72913401,X,protein_coding
ENSG00000213498,TPT1P13,121863698,121864196,X,processed_pseudogene
ENSG00000230973,,131437055,131437670,X,processed_pseudogene
ENSG00000226579,MTCYBP31,70120353,70121474,X,processed_pseudogene
ENSG00000270493,,120937762,120938015,X,processed_pseudogene
ENSG00000102055,PPP1R2C,42777366,42778163,X,protein_coding
ENSG00000183035,CYLC1,83861126,83886699,X,protein_coding
ENSG00000224072,VEZTP1,46454097,46457199,X,processed_pseudogene
ENSG00000147223,RIPPLY1,106900063,106903341,X,protein_coding
ENSG00000225957,,52382053,52385614,X,unprocessed_pseudogene
ENSG00000235382,MTND4P31,70124972,70129071,X,processed_pseudogene
ENSG00000215197,PGAM4P1,54671985,54672638,X,processed_pseudogene
ENSG00000215035,FDPSP5,44476027,44477422,X,processed_pseudogene
ENSG00000234901,MTND6P13,102008524,102009046,X,processed_pseudogene
ENSG00000271154,,120942623,120942875,X,processed_pseudogene
ENSG00000235656,RPL36P18,115198432,115198749,X,processed_pseudogene
ENSG00000215093,EEF1A1P29,86160264,86161359,X,processed_pseudogene
ENSG00000235196,,101911529,101912072,X,processed_pseudogene
ENSG00000225728,TMEM230P1,107939263,107939642,X,processed_pseudogene
ENSG00000230706,TMEM184CP1,88061590,88062844,X,processed_pseudogene
ENSG00000235735,RPL7AP72,128313281,128314048,X,processed_pseudogene
ENSG00000260585,,121871869,121876865,X,lncRNA
ENSG00000228450,NLRP7P1,131492279,131492886,X,processed_pseudogene
ENSG00000237206,IMPDH1P4,43278125,43279658,X,processed_pseudogene
ENSG00000226372,DCAF8L1,27977992,27981449,X,protein_coding
ENSG00000213653,RPL22P22,82506434,82506812,X,processed_pseudogene
ENSG00000236735,RPL31P63,68600099,68600473,X,processed_pseudogene
ENSG00000186767,SPIN4,63347228,63351332,X,protein_coding
ENSG00000214018,RRM2P3,44309314,44310476,X,processed_pseudogene
ENSG00000214009,PCNAP3,46058751,46059528,X,processed_pseudogene
ENSG00000228301,RPL7P55,93573834,93574579,X,processed_pseudogene
ENSG00000230916,MTCO1P53,126471705,126472403,X,processed_pseudogene
ENSG00000224217,PRPF4BP1,116748530,116748877,X,processed_pseudogene
ENSG00000198354,DCAF12L2,126163499,126166289,X,protein_coding
ENSG00000236042,,128098032,128098529,X,processed_pseudogene
ENSG00000234463,COX6CP12,68645326,68645527,X,processed_pseudogene
ENSG00000270736,,120966948,120967199,X,processed_pseudogene
ENSG00000189401,OTUD6A,70062457,70064179,X,protein_coding
ENSG00000237891,UBE2V1P16,122010976,122011612,X,processed_pseudogene
ENSG00000230538,PNPLA10P,127390342,127392526,X,processed_pseudogene
ENSG00000234404,SPRYD7P1,77374212,77381319,X,processed_pseudogene
ENSG00000223772,GEMIN8P3,86304367,86305086,X,processed_pseudogene
ENSG00000225949,,133141300,133143940,X,processed_pseudogene
ENSG00000230956,CAPZA1P1,88096393,88097225,X,processed_pseudogene
ENSG00000235425,RPS7P13,95679130,95679627,X,processed_pseudogene
ENSG00000233433,CBLL1P1,121024964,121026563,X,processed_pseudogene
ENSG00000102021,LUZP4,115289715,115307563,X,protein_coding
ENSG00000227234,SPANXB1,141002594,141003706,X,protein_coding
ENSG00000234176,HSPA8P1,121203182,121205014,X,processed_pseudogene
ENSG00000271021,,115454733,115455194,X,processed_pseudogene
ENSG00000225912,RPL26P36,92676519,92676954,X,processed_pseudogene
ENSG00000270619,,118278159,118283367,X,processed_pseudogene
ENSG00000274901,,126502867,126503155,X,unprocessed_pseudogene
ENSG00000280142,,122242008,122242616,X,TEC
ENSG00000046774,MAGEC2,142202342,142205290,X,protein_coding
ENSG00000233243,VKORC1P1,27863893,27864349,X,processed_pseudogene
ENSG00000228532,SUMO2P21,115718942,115719229,X,processed_pseudogene
ENSG00000229829,DUTP4,149817170,149817644,X,processed_pseudogene
ENSG00000271502,,120957227,120957479,X,processed_pseudogene
ENSG00000232149,FERP1,123603139,123603931,X,processed_pseudogene
ENSG00000270431,PHF5AP4,115659713,115660022,X,processed_pseudogene
ENSG00000280275,,127392760,127394771,X,TEC
ENSG00000237650,OR11Q1P,131204068,131205010,X,unprocessed_pseudogene
ENSG00000235334,BTG3P1,128122734,128123496,X,processed_pseudogene
ENSG00000233548,CYCSP44,145176582,145176894,X,processed_pseudogene
ENSG00000235976,H2BP8,101989481,101989872,X,processed_pseudogene
ENSG00000228160,,69569635,69576337,X,lncRNA
ENSG00000183434,TFDP3,133216662,133218354,X,protein_coding
ENSG00000173954,SNURFL,139362040,139362382,X,processed_pseudogene
ENSG00000276205,,131221196,131221436,X,unprocessed_pseudogene
ENSG00000231501,MTND4LP1,126472728,126472884,X,processed_pseudogene
ENSG00000242610,OR5BH1P,131398072,131398957,X,unprocessed_pseudogene
ENSG00000236080,YAP1P2,115069237,115069846,X,processed_pseudogene
ENSG00000236205,,142147862,142148866,X,unprocessed_pseudogene
ENSG00000189252,SPANXN3,143508735,143517475,X,protein_coding
ENSG00000278646,,120877496,120878924,X,protein_coding
ENSG00000226685,CT47A12,120930250,120932301,X,protein_coding
ENSG00000218728,KRT18P44,128714506,128715790,X,processed_pseudogene
ENSG00000271175,,147812733,147812974,X,processed_pseudogene
ENSG00000280752,LINC00850,149825708,149879799,X,lncRNA
ENSG00000271041,,120947483,120947735,X,processed_pseudogene
ENSG00000233467,HAX1P1,148198014,148198878,X,processed_pseudogene
ENSG00000233229,CNOT7P1,69937166,69938017,X,processed_pseudogene
ENSG00000232787,OR7L1P,131596121,131596987,X,unprocessed_pseudogene
ENSG00000228466,TUBB4AP1,123561642,123562966,X,processed_pseudogene
ENSG00000224589,ORC1P1,27893348,27894059,X,processed_pseudogene
ENSG00000275508,,142372276,142373990,X,processed_pseudogene
ENSG00000227303,,143284977,143516803,X,lncRNA
ENSG00000274631,,127623410,127623530,X,processed_pseudogene
ENSG00000230079,STK24P1,136295690,136300298,X,processed_pseudogene
ENSG00000280223,,126004446,126006118,X,TEC
ENSG00000235729,,143806391,143806733,X,processed_pseudogene
ENSG00000236747,LINC01282,39367285,39391807,X,lncRNA
ENSG00000231694,,149760779,149760874,X,unprocessed_pseudogene
ENSG00000232549,SRD5A1P1,139446891,139447676,X,processed_pseudogene
ENSG00000230788,CTDSPL2P2,106070481,106073202,X,processed_pseudogene
ENSG00000271826,PLS3-AS1,115518182,115562731,X,lncRNA
ENSG00000225469,,142172866,142173989,X,unprocessed_pseudogene
ENSG00000102239,BRS3,136487947,136493780,X,protein_coding
ENSG00000198881,ASB12,64224194,64230607,X,protein_coding
ENSG00000226929,CT47A11,120933840,120937158,X,protein_coding
ENSG00000270709,UFM1P1,145768095,145768342,X,processed_pseudogene
ENSG00000235274,,127728734,127730858,X,processed_pseudogene
ENSG00000287796,,147879361,147885249,X,lncRNA
ENSG00000288258,,155061622,155065519,X,protein_coding
ENSG00000234712,,145232929,145233619,X,lncRNA
ENSG00000229322,,149649174,149650124,X,processed_pseudogene
ENSG00000237828,PA2G4P1,120868611,120869807,X,processed_pseudogene
ENSG00000184675,AMER1,64185117,64205708,X,protein_coding
ENSG00000223995,RPL32P35,128838441,128838834,X,processed_pseudogene
ENSG00000270397,,120952344,120952595,X,processed_pseudogene
ENSG00000232496,RPL3P12,122538253,122539460,X,processed_pseudogene
ENSG00000198573,SPANXC,141241463,141242517,X,protein_coding
ENSG00000270771,,120971808,120972059,X,processed_pseudogene
ENSG00000176970,RPL7L1P11,148464708,148465428,X,processed_pseudogene
ENSG00000203923,SPANXN1,145247503,145256208,X,protein_coding
ENSG00000268883,PNMA6B,153075769,153076968,X,unprocessed_pseudogene
ENSG00000250625,,142194352,142195490,X,unprocessed_pseudogene
ENSG00000235254,TMEM185AP1,149768897,149771368,X,unprocessed_pseudogene
ENSG00000231093,TRMT1P1,145630218,145632375,X,processed_pseudogene
ENSG00000232177,MTND4P24,126472885,126473281,X,processed_pseudogene
ENSG00000183171,,150114378,150116520,X,processed_pseudogene
ENSG00000185903,OR11N1P,131324391,131325313,X,unprocessed_pseudogene
ENSG00000235329,,113347413,113347619,X,processed_pseudogene
ENSG00000171116,HSFX1,149774068,149776867,X,protein_coding
ENSG00000182712,CMC4,155061622,155071136,X,protein_coding
ENSG00000223516,AFF2-IT1,148546878,148547397,X,lncRNA
ENSG00000270646,,120976668,120976919,X,processed_pseudogene
ENSG00000228042,M6PRP1,110636841,110637672,X,processed_pseudogene
ENSG00000226064,PGBD4P6,143343976,143344585,X,processed_pseudogene
ENSG00000229562,ZFYVE9P1,137660519,137662242,X,processed_pseudogene
ENSG00000156009,MAGEA8,149881141,149885835,X,protein_coding
ENSG00000271660,,146964176,146964485,X,processed_pseudogene
ENSG00000279585,,145797375,145798439,X,TEC
ENSG00000224548,,127796124,127796733,X,processed_pseudogene
ENSG00000270251,,120986388,120986639,X,processed_pseudogene
ENSG00000237208,,126109762,126115562,X,lncRNA
ENSG00000228517,CT47A7,120953282,120956600,X,protein_coding
ENSG00000274579,,147476324,147476446,X,processed_pseudogene
ENSG00000213924,HNRNPH1P2,143677153,143678362,X,processed_pseudogene
ENSG00000182195,LDOC1,141111605,141177129,X,protein_coding
ENSG00000224630,,144308834,144309080,X,processed_pseudogene
ENSG00000235539,MTND1P33,143433042,143433958,X,processed_pseudogene
ENSG00000241489,,149477104,149540926,X,protein_coding
ENSG00000213423,RBMX2P2,141261119,141264213,X,processed_pseudogene
ENSG00000224931,,153122145,153128323,X,processed_pseudogene
ENSG00000237741,,148498113,148500615,X,lncRNA
ENSG00000185247,MAGEA11,149688228,149717268,X,protein_coding
ENSG00000102195,GPR50,151176584,151181465,X,protein_coding
ENSG00000269911,FAM226B,72777608,72779097,X,lncRNA
ENSG00000228833,,149757797,149757895,X,unprocessed_pseudogene
ENSG00000166049,PASD1,151563675,151676739,X,protein_coding
ENSG00000223377,,149758021,149758295,X,unprocessed_pseudogene
ENSG00000226414,MTCYBP38,126729104,126730226,X,processed_pseudogene
ENSG00000229269,,140931738,140997448,X,lncRNA
ENSG00000224732,MAGEA7P,149808214,149809155,X,unprocessed_pseudogene
ENSG00000238039,,149511509,149526264,X,lncRNA
ENSG00000225110,PNMA6F,153317680,153321767,X,protein_coding
ENSG00000227779,NDUFB3P5,141380823,141381107,X,processed_pseudogene
ENSG00000241769,EOLA1-DT,149527591,149540959,X,lncRNA
ENSG00000214925,RPL36AP52,141138478,141139174,X,processed_pseudogene
ENSG00000196406,SPANXD,141697411,141698739,X,protein_coding
ENSG00000230130,MTND2P39,143434517,143435280,X,processed_pseudogene
ENSG00000235598,RRM2P4,144309132,144309693,X,processed_pseudogene
ENSG00000234748,,146537535,146538048,X,processed_pseudogene
ENSG00000226388,ELL2P4,146553728,146555765,X,processed_pseudogene
ENSG00000231686,ANKRD11P2,146619597,146620584,X,processed_pseudogene
ENSG00000176289,IDSP1,149525001,149526043,X,unprocessed_pseudogene
