Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
20534447	21232855	6	CDKAL1
21593751	21598619	6	SOX4
22287244	22302826	6	PRL
22569566	22571666	6	HDGFL1
24126154	24154900	6	NRSN1
24171755	24360249	6	DCDC2
24402908	24426194	6	MRS2
24424565	24495205	6	GPLD1
24494798	24537207	6	ALDH5A1
24544104	24646191	6	KIAA0319
24649978	24666930	6	TDP2
24666921	24705065	6	ACOT13
24704856	24720874	6	C6orf62
24774892	24786103	6	GMNN
24797335	24798917	6	ARMH2
24797373	24809798	6	
24803362	25042170	6	RIPOR2
25279078	25620537	6	CARMIL1
25652201	25701783	6	SCGN
25652210	25738044	6	
25723397	25726562	6	H2AC1
25726777	25727345	6	H2BC1
25753300	25783316	6	SLC17A4
25781532	25832052	6	SLC17A1
25833066	25882478	6	SLC17A3
25906892	25930815	6	SLC17A2
25962777	25991231	6	TRIM38
26017032	26017787	6	H1-1
26020451	26021487	6	H3C1
26021649	26022847	6	H4C1
26025802	26027283	6	H4C2
26031589	26032099	6	H3C2
26033092	26033618	6	H2AC4
26042771	26043713	6	H2BC3
26045384	26045869	6	H3C3
26054760	26056470	6	H1-2
26086317	26124016	6	H2BC4
26087226	26098343	6	HFE
26103933	26104337	6	H4C3
26107412	26108135	6	H1-6
26124145	26139116	6	H2AC6
26156329	26157115	6	H1-4
26158122	26171349	6	H2BC5
26172059	26184655	6	H2BC6
26188710	26189112	6	H4C4
26195164	26197286	6	H3C4
26195595	26199293	6	
26198784	26199293	6	H2AC7
26199516	26199988	6	H2BC7
26204610	26205021	6	H4C5
26216200	26216688	6	H2BC8
26216921	26218515	6	H2AC8
26224199	26227473	6	H3C6
26234212	26234987	6	H1-3
26240393	26240793	6	H4C6
26246611	26246996	6	H4C7
26250142	26250635	6	H3C7
26251614	26252075	6	H2BC9
26270918	26271413	6	H3C8
26272931	26273412	6	H2BC10
26277609	26285638	6	H4C8
26365159	26382797	6	BTN3A2
26383092	26394880	6	BTN2A2
26402237	26415216	6	BTN3A1
26440452	26453422	6	BTN3A3
26457904	26476621	6	BTN2A1
26500303	26510425	6	BTN1A1
26538351	26546937	6	HMGN4
26596953	26600739	6	ABT1
26634383	26659759	6	ZNF322
27122657	27132795	6	H2BC11
27133043	27135292	6	H2AC11
27137298	27146857	6	H2BC12
27139282	27140640	6	H4C9
27147106	27147562	6	H2AC12
27247701	27256646	6	PRSS16
27285903	27312273	6	POM121L2
27374615	27405026	6	ZNF391
27450743	27473141	6	ZNF184
27807479	27807929	6	H2BC13
27808173	27808667	6	H2AC13
27810051	27811300	6	H3C10
27814302	27814777	6	H2AC14
27815022	27815489	6	H2BC14
27824092	27824480	6	H4C11
27830918	27831560	6	H4C12
27835508	27838375	6	H2AC15
27838545	27855709	6	H2BC15
27865317	27865798	6	H2AC16
27866792	27867588	6	H1-5
27871845	27872346	6	H3C11
27873148	27873534	6	H4C13
27890315	27893106	6	H3C12
27892699	27893185	6	H2AC17
27893425	27893891	6	H2BC17
27911185	27912396	6	OR2B2
27957241	27958182	6	OR2B6
28053228	28054165	6	OR2B8
28080568	28089563	6	ZNF165
28107689	28130082	6	ZSCAN16
28141732	28159461	6	ZKSCAN8
28161769	28169594	6	ZKSCAN8P1
28224886	28233487	6	ZSCAN9
28241697	28252924	6	ZKSCAN4
28259297	28260958	6	NKAPL
28267058	28278224	6	ZSCAN26
28267121	28281580	6	
28281493	28303691	6	PGBD1
28324693	28356271	6	ZSCAN31
28349911	28369172	6	ZKSCAN3
28378821	28399747	6	ZSCAN12
28425321	28443502	6	ZSCAN23
28503296	28528215	6	GPX6
28525881	28534955	6	GPX5
28570535	28616212	6	SCAND3
28903002	28923988	6	TRIM27
28994040	29005648	6	ZNF311
29044213	29045175	6	OR2W1
29086208	29087313	6	OR2B3
29099490	29102701	6	OR2J1
29108058	29114770	6	OR2J3
29170907	29175811	6	OR2J2
29301701	29313017	6	OR14J1
29353749	29431967	6	OR5V1
29373423	29375291	6	OR12D3
29395631	29398008	6	OR12D2
29414928	29418905	6	OR12D1
29425504	29457071	6	OR11A1
29439306	29440977	6	OR10C1
29457155	29464328	6	OR2H1
29486697	29487956	6	MAS1L
29550407	29557773	6	OR2I1
29555515	29559732	6	UBD
29555629	29633976	6	GABBR1
29585121	29590500	6	OR2H2
29656598	29674431	6	MOG
29672483	29681155	6	ZFP57
29722738	29738528	6	HLA-F
29826967	29831125	6	HLA-G
29941260	29949572	6	HLA-A
30058899	30064909	6	POLR1H
30066709	30070333	6	PPP1R11
30070266	30075849	6	RNF39
30102886	30113090	6	TRIM31
30136028	30151592	6	TRIM40
30151943	30161211	6	TRIM10
30163194	30173160	6	TRIM15
30184446	30213435	6	TRIM26
30325880	30344265	6	TRIM39
30328907	30346854	6	TRIM39-RPP21
30345125	30346884	6	RPP21
30489503	30494205	6	HLA-E
30541381	30556603	6	GNL1
30557274	30563723	6	PRR3
30571393	30597179	6	ABCF1
30600400	30618612	6	PPP1R10
30617823	30626398	6	MRPS18B
30626842	30646835	6	ATAT1
30647033	30653210	6	C6orf136
30653119	30673013	6	DHX16
30676389	30687895	6	PPP1R18
30688047	30691420	6	NRM
30699807	30717562	6	MDC1
30717435	30725538	6	TUBB
30727709	30743075	6	FLOT1
30743199	30744550	6	IER3
30876421	30900978	6	DDR1
30907522	30914119	6	GTF2H4
30914205	30926484	6	VARS2
30931353	30955636	6	SFTA2
30934523	30938824	6	
30940973	30954221	6	MUCL3
30983718	30989903	6	MUC21
31010474	31035402	6	MUC22
31111223	31112575	6	C6orf15
31114750	31140092	6	PSORS1C1
31115087	31120446	6	CDSN
31137534	31139066	6	PSORS1C2
31142439	31158238	6	CCHCR1
31158331	31167159	6	TCF19
31164337	31180731	6	POU5F1
31268749	31272130	6	HLA-C
31353867	31367067	6	HLA-B
31399784	31415315	6	MICA
31494881	31511124	6	MICB
31528962	31530232	6	MCCD1
31530218	31542451	6	DDX39B
31530219	31546608	6	ATP6V1G2-DDX39B
31544444	31548427	6	ATP6V1G2
31546870	31558829	6	NFKBIL1
31572054	31574324	6	LTA
31575565	31578336	6	TNF
31580525	31582522	6	LTB
31586124	31588910	6	LST1
31588895	31593217	6	NCR3
31615217	31617021	6	AIF1
31620715	31637771	6	PRRC2A
31622774	31622860	6	
31623874	31625499	6	
31638544	31652747	6	BAG6
31652416	31658210	6	APOM
31658298	31660778	6	C6orf47
31661228	31666283	6	GPANK1
31665227	31670343	6	CSNK2B
31666102	31673546	6	
31669976	31673776	6	LY6G5B
31676684	31684040	6	LY6G5C
31686954	31703356	6	ABHD16A
31706866	31710679	6	LY6G6F
31706904	31717918	6	LY6G6F-LY6G6D
31715348	31717919	6	LY6G6D
31718594	31726714	6	MPIG6B
31718648	31721746	6	LY6G6C
31727038	31730617	6	DDAH2
31730581	31740558	6	CLIC1
31739677	31762676	6	MSH5
31740020	31764851	6	MSH5-SAPCD1
31762656	31764851	6	SAPCD1
31765590	31777328	6	VWA7
31777518	31795950	6	VARS1
31797392	31806987	6	LSM2
31809619	31815788	6	HSPA1L
31815543	31817994	6	HSPA1A
31827738	31830254	6	HSPA1B
31857063	31862905	6	NEU1
31863192	31879198	6	SLC44A4
31879758	31897723	6	EHMT2
31897785	31945674	6	C2
31899613	31902086	6	ZBTB12
31927698	31952048	6	
31945650	31952086	6	CFB
31952087	31959038	6	NELFE
31959116	31969852	6	SKIC2
31969810	31972509	6	DXO
31971091	31982821	6	WHR1
31981991	32004877	6	C4A
32014730	32035973	6	C4B
32038298	32042321	6	CYP21A2
32041153	32115334	6	TNXB
32115264	32128253	6	ATF6B
32128697	32131070	6	FKBPL
32146580	32163679	6	PPT2
32148323	32153083	6	PRRT1
32150495	32154373	6	
32153845	32171978	6	PPT2-EGFL8
32163918	32168453	6	EGFL8
32168205	32178096	6	AGPAT1
32178405	32180793	6	RNF5
32180963	32184344	6	AGER
32184733	32190202	6	PBX2
32190766	32195523	6	GPSM3
32194843	32224111	6	NOTCH4
32288526	32371907	6	TSBP1
32393339	32407181	6	BTNL2
32439872	32445047	6	HLA-DRA
32517345	32530369	6	HLA-DRB5
32577902	32589848	6	HLA-DRB1
32628179	32647062	6	HLA-DQA1
32659467	32668383	6	HLA-DQB1
32741391	32747198	6	HLA-DQA2
32756094	32763543	6	HLA-DQB2
32812763	32820466	6	HLA-DOB
32813767	32838822	6	
32821833	32838784	6	TAP2
32840717	32844679	6	PSMB8
32844136	32860734	6	PSMB9
32845206	32854018	6	TAP1
32934629	32941054	6	HLA-DMB
32937364	32953122	6	
32948613	32969094	6	HLA-DMA
32968594	32981505	6	BRD2
33004178	33009594	6	HLA-DOA
33064569	33080781	6	HLA-DPA1
33073786	33089696	6	HLA-DPB1
33162681	33192766	6	COL11A2
33193588	33200666	6	RXRB
33200305	33204439	6	SLC39A7
33204631	33206831	6	HSD17B8
33208491	33212722	6	RING1
33250272	33272047	6	VPS52
33272075	33276511	6	RPS18
33277123	33284832	6	B3GALT4
33279108	33289247	6	WDR46
33288680	33298401	6	PFDN6
33291196	33299419	6	RGL2
33299694	33314284	6	TAPBP
33314406	33318021	6	ZBTB22
33318558	33323259	6	DAXX
33321386	33329286	6	
33323628	33329279	6	SMIM40
33391429	33410441	6	KIFC1
33410382	33416453	6	PHF1
33416442	33418381	6	CUTA
33419661	33453689	6	SYNGAP1
33453970	33457544	6	ZBTB9
33572547	33580305	6	BAK1
33620365	33696574	6	ITPR3
33690635	33711727	6	UQCC2
33721315	33750520	6	IP6K3
33771202	33789148	6	LEMD2
33794673	33804003	6	MLN
34018643	34155622	6	GRM4
34235618	34246236	6	HMGA1
34246381	34249108	6	SMIM29
34279679	34392677	6	NUDT3
34284887	34426071	6	RPS10-NUDT3
34417447	34426237	6	RPS10
34466061	34535229	6	PACSIN1
34537796	34556333	6	SPDEF
34587288	34696881	6	ILRUN
34757454	34773857	6	SNRPC
34792083	34877514	6	BLTP3A
34877462	34889192	6	TAF11
34889243	35091421	6	ANKS1A
35118071	35148610	6	TCP11
35213859	35253080	6	SCUBE3
35258909	35295985	6	ZNF76
35297818	35321909	6	DEF6
35342530	35428193	6	PPARD
35452318	35467106	6	FANCE
35468366	35470785	6	RPL10A
35473597	35497079	6	TEAD3
35497874	35512896	6	TULP1
35572945	35728622	6	FKBP5
35737032	35749079	6	ARMC12
35776535	35779557	6	CLPSL2
35781019	35793675	6	CLPSL1
35794982	35798251	6	CLPS
35797206	35845397	6	LHFPL5
35832966	35921342	6	SRPK1
35943516	36028767	6	SLC26A8
36027738	36122511	6	MAPK14
36127809	36144524	6	MAPK13
36196006	36232790	6	BRPF3
36243203	36313955	6	PNPLA1
36315757	36337010	6	BNIP5
36354091	36387800	6	ETV7
36390551	36442854	6	PXT1
36442767	36491143	6	KCTD20
36493880	36547516	6	STK38
36593787	36605911	6	SRSF3
36676441	36687397	6	CDKN1A
36697826	36733184	6	RAB44
36740775	36839444	6	CPNE5
36854825	36875003	6	PPIL1
36871870	36928964	6	C6orf89
36948263	36965993	6	PI16
36965807	36986298	6	MTCH1
37005645	37029299	6	FGD2
37170152	37175428	6	PIM1
37212180	37258155	6	TMEM217
37212181	37258144	6	TMEM217B
37257772	37332970	6	TBC1D22B
37353979	37394734	6	RNF8
37433094	37482827	6	CMTR1
37482920	37499894	6	CCDC167
37630679	37699306	6	MDGA1
37819429	38154624	6	ZFAND3
38168451	38640172	6	BTBD9
38675925	38703145	6	GLO1
38715311	39030792	6	DNAH8
39048781	39091303	6	GLP1R
39104063	39115193	6	SAYSD1
39188128	39229559	6	KCNK5
39298998	39314461	6	KCNK17
39314698	39322968	6	KCNK16
39329990	39725408	6	KIF6
39792298	39904877	6	DAAM2
39899578	39934551	6	MOCS1
40391591	40587364	6	LRFN2
41026895	41039221	6	UNC5CL
41033627	41097787	6	OARD1
41042467	41044337	6	TSPO2
41053201	41064891	6	APOBEC2
41072946	41102403	6	NFYA
41149167	41155553	6	TREML1
41158488	41163186	6	TREM2
41189749	41201149	6	TREML2
41228339	41238882	6	TREML4
41267100	41286682	6	TREM1
41335608	41350889	6	NCR2
41546363	41602384	6	FOXP4
41636840	41654246	6	MDFI
41683978	41736259	6	TFEB
41736711	41754109	6	PGC
41770174	41787570	6	FRS3
41780349	41790141	6	
41780739	41787452	6	PRICKLE4
41787652	41790064	6	TOMM6
41789896	41895375	6	USP49
41793314	41921139	6	
41905354	41921139	6	MED20
41921229	41933050	6	BYSL
41934934	42050357	6	CCND3
42050513	42087461	6	TAF8
42092233	42142620	6	C6orf132
42142693	42163418	6	CIMIP3
42155406	42180056	6	GUCA1ANB-GUCA1A
42173364	42181338	6	GUCA1A
42183284	42194956	6	GUCA1B
42206694	42217881	6	MRPS10
42224931	42452224	6	TRERF1
42563995	42693505	6	UBR2
42696598	42722597	6	PRPH2
42744498	42746103	6	TBCC
42781931	42868560	6	BICRAL
42879616	42889925	6	RPL7L1
42890265	42890821	6	PEX39
42915989	42925838	6	PTCRA
42929115	42939903	6	CNPY3
42959717	42979243	6	PEX6
42960690	42963883	6	GNMT
42984538	43012346	6	PPP2R5D
43011143	43016868	6	MEA1
43014103	43021298	6	KLHDC3
43021593	43034156	6	RRP36
43037617	43053943	6	CUL7
43040777	43075099	6	KLC4
43051066	43058185	6	
43054029	43059449	6	MRPL2
43076257	43161719	6	PTK7
43171269	43181506	6	SRF
43182181	43224587	6	CUL9
43225629	43229484	6	DNPH1
43243481	43288258	6	TTBK1
43295694	43305543	6	SLC22A7
43299710	43308874	6	CRIP3
43307134	43369647	6	ZNF318
43427366	43450430	6	ABCC10
43450351	43456632	6	DLK2
43477523	43506562	6	TJAP1
43506965	43510388	6	LRRC73
43509702	43562419	6	POLR1C
43511821	43516985	6	YIPF3
43522334	43576061	6	XPO5
43575537	43620523	6	POLH
43605316	43629264	6	GTPBP2
43629494	43640955	6	MAD2L1BP
43644229	43672604	6	RSPH9
43671202	43687800	6	MRPS18A
43770184	43786487	6	VEGFA
44000580	44007612	6	LINC03040
44112290	44128724	6	MRPL14
44126614	44155520	6	TMEM63B
44158811	44184401	6	CAPN11
44216926	44218236	6	MYMX
44219245	44236432	6	SLC29A1
44245808	44253888	6	HSP90AB1
44254096	44257890	6	SLC35B2
44258166	44265788	6	NFKBIE
44270450	44307506	6	TMEM151B
44273194	44378957	6	
44278734	44297698	6	TCTE1
44298726	44313347	6	AARS2
44342650	44380179	6	SPATS1
44387565	44450425	6	CDC5L
44809317	45377953	6	SUPT3H
45328157	45664349	6	RUNX2
45880827	46080348	6	CLIC5
46129964	46146699	6	ENPP4
46158482	46171113	6	ENPP5
46220736	46491972	6	RCAN2
46549383	46652830	6	CYP39A1
46652915	46678190	6	SLC25A27
46687875	46704319	6	TDRD6
46704201	46735718	6	PLA2G7
46746933	46759506	6	ANKRD66
46793368	46839801	6	MEP1A
46852310	46956392	6	ADGRF5
46997708	47042350	6	ADGRF1
47231532	47309947	6	TNFRSF21
47477752	47627263	6	CD2AP
47685864	47722021	6	ADGRF4
47781982	47832780	6	OPN5
47856673	48111197	6	PTCHD4
49430360	49463321	6	MMUT
49463335	49495815	6	CENPQ
49499923	49528078	6	GLYATL3
49550666	49561907	6	C6orf141
49605175	49636839	6	RHAG
49692358	49714703	6	CRISP2
49727376	49744437	6	CRISP3
49785660	49787285	6	PGK2
49834257	49877096	6	CRISP1
49960249	49964164	6	DEFB114
49968677	49969625	6	DEFB113
50009138	50021994	6	DEFB110
50042099	50049929	6	DEFB112
50713526	50773033	6	TFAP2D
50818723	50847619	6	TFAP2B
51615299	52087613	6	PKHD1
52186375	52190638	6	IL17A
52236681	52245689	6	IL17F
52264011	52284881	6	MCM3
52361421	52407777	6	PAQR8
52362123	52529886	6	EFHC1
52497408	52577077	6	TRAM2
52671072	52686592	6	TMEM14A
52747975	52763525	6	GSTA2
52791371	52803881	6	GSTA1
52831655	52840843	6	GSTA5
52896639	52909701	6	GSTA3
52977948	52995312	6	GSTA4
53001279	53061824	6	CILK1
53041266	53041385	6	
53051991	53100873	6	FBXO9
53065602	53065673	6	
53126961	53148841	6	GCM1
53260285	53349179	6	ELOVL5
53497341	53616970	6	GCLC
53647916	53665756	6	KLHL31
53794497	53924125	6	LRRC1
53929982	54266946	6	MLIP
54307859	54390142	6	TINAG
54846771	54945099	6	FAM83B
55106460	55282617	6	HCRTR2
55327469	55402493	6	GFRAL
55434368	55579197	6	HMGCLL1
55753653	55875595	6	BMP5
56056590	56394094	6	COL21A1
56457987	56954830	6	DST
56954924	57027832	6	BEND6
57046532	57059041	6	KIAA1586
57086844	57170305	6	ZNF451
57172319	57189833	6	BAG2
57186992	57222848	6	RAB23
57314805	57646855	6	PRIM2
61630234	62286225	6	KHDRBS2
63211469	63213027	6	FKBP1C
63275951	63319983	6	LGSN
63521746	63583588	6	PTP4A1
63572480	63583588	6	
63635802	63779336	6	PHF3
63719980	65707226	6	EYS
65301476	65306574	6	ZC3H11C
68635282	69390571	6	ADGRB3
68635890	68635967	6	
69672757	69867236	6	LMBRD1
69866556	70212468	6	COL19A1
70216040	70303084	6	COL9A1
70412941	70561608	6	FAM135A
70566917	70589569	6	SDHAF4
70667776	70862015	6	SMAP1
70856679	70957060	6	B3GAT2
71288811	71309059	6	OGFRL1
71886550	72403150	6	RIMS1
72621792	73198853	6	KCNQ5
73209746	73263196	6	
73223544	73225770	6	KHDC1L
73241310	73310455	6	KHDC1
73353063	73354276	6	DPPA5
73362658	73364171	6	KHDC3L
73368555	73395133	6	OOEP
73394828	73417566	6	DDX43
73413515	73461726	6	CGAS
73461578	73509236	6	MTO1
73489308	73525587	6	EEF1A1
73593364	73654014	6	SLC17A5
73695785	73828316	6	CD109
75084326	75206267	6	COL12A1
75237675	75250323	6	COX7A2
75252924	75284948	6	TMEM30A
75291859	75493800	6	FILIP1
75601509	75718281	6	SENP6
75749175	75919537	6	MYO6
75921114	76072678	6	IMPG1
77460924	77463491	6	HTR1B
77650274	77927045	6	MEI4
78867551	78946440	6	IRAK1BP1
78934419	79078544	6	PHIP
79200929	79234862	6	HMGN3
79484991	79545138	6	LCA5
79537185	79703655	6	SH3BGRL2
79914814	79947553	6	ELOVL4
80003887	80043580	6	TTK
80106647	80351082	6	BCKDHB
81491439	81752774	6	TENT5A
82169984	82247775	6	IBTK
82363206	82367420	6	TPBG
82892390	83065841	6	UBE3D
83067666	83171350	6	DOP1A
83147324	83194005	6	PGM3
83193337	83198935	6	RWDD2A
83210393	83431208	6	ME1
83512508	83525704	6	PRSS35
83552880	83709691	6	SNAP91
83853360	83857515	6	RIPPLY2
83859646	83967423	6	CYB5R4
84033203	84090887	6	MRAP2
84124241	84227685	6	CEP162
84687351	84764598	6	TBX18
85449584	85495791	6	NT5E
85504776	85594156	6	SNX14
85504776	85678733	6	
85607779	85644063	6	SYNCRIP
86936662	87017155	6	HTR1E
87085498	87095106	6	CGA
87151803	87265943	6	ZNF292
87282980	87329278	6	GJB7
87322580	87399749	6	SMIM8
87344813	87365463	6	C6orf163
87407972	87464645	6	CFAP206
87408012	87511634	6	
87470623	87512336	6	SLC35A1
87513459	87590028	6	RARS2
87590067	87677823	6	ORC3
87674860	87702255	6	AKIRIN2
88047841	88066838	6	SPACA1
88139863	88167364	6	CNR1
88609897	88963626	6	RNGTT
89080751	89085160	6	PNRC1
89093949	89118071	6	SRSF12
89146055	89165565	6	PM20D2
89177504	89231278	6	GABRR1
89254464	89315299	6	GABRR2
89326608	89352902	6	UBE2J1
89364616	89412735	6	RRAGD
89433119	89633838	6	ANKRD6
89568144	89638755	6	LYRM2
89642498	89819794	6	MDN1
89829894	89874436	6	CASP8AP2
89894469	89921760	6	GJA10
89926528	90296923	6	BACH2
90513573	90587093	6	MAP3K7
93240020	93419687	6	EPHA7
95577485	95609484	6	MANEA
96015436	96215612	6	FUT9
96521595	96555276	6	UFL1
96562548	96619616	6	FHL5
96794125	96838150	6	GPR63
96889313	96897894	6	NDUFAF4
96924620	97140756	6	KLHL32
97142161	97283224	6	MMS22L
98834574	98839458	6	POU3F2
98868535	98948006	6	FBXL4
99271168	99350062	6	FAXC
99369401	99394207	6	COQ3
99397629	99425335	6	PNISR
99432325	99521728	6	USP45
99542387	99568825	6	CCNC
99606774	99615578	6	PRDM13
99918519	99994247	6	MCHR2
100385009	100464935	6	SIM1
100508194	100881407	6	ASCC3
100962701	102081622	6	GRIK2
104728094	104859919	6	HACE1
104936616	105083332	6	LIN28B
105096822	105137216	6	POPDC1
105157892	105180447	6	POPDC3
105273218	105454062	6	PREP
105993463	106109939	6	PRDM1
106045423	106326477	6	ATG5
106360717	106572017	6	CRYBG1
106570771	106629498	6	RTN4IP1
106629572	106668417	6	QRSL1
106969831	106975627	6	CD24
107028184	107051586	6	MTRES1
107065138	107116234	6	BEND3
107152556	107459580	6	PDSS2
107490073	107661306	6	SOBP
107702154	107824317	6	SCML4
107867756	107958309	6	SEC63
108029245	108165854	6	OSTM1
108166022	108188805	6	NR2E1
108211222	108261255	6	SNX3
108294926	108526796	6	AFG1L
108559652	108684774	6	FOXO3
108848416	108974551	6	ARMC2
108984309	109095074	6	SESN1
109095105	109174418	6	CEP57L1
109366514	109382469	6	CD164
109390215	109441171	6	PPIL6
109440678	109443920	6	SMPD2
109444062	109465968	6	MICAL1
109460632	109483239	6	ZBTB24
109492855	109691217	6	AK9
109690609	109878098	6	FIG4
109978256	109980720	6	GPR6
110099817	110180019	6	WASF1
110180141	110254275	6	CDC40
110243940	110358502	6	METTL24
110391771	110415862	6	DDO
110424687	110476681	6	SLC22A16
110609978	110815958	6	CDK19
110874770	110898879	6	AMD1
110958477	110968586	6	GTF3C6
110982015	111028263	6	RPF2
111087503	111231194	6	SLC16A10
111259327	111445354	6	MFSD4B
111299028	111483715	6	REV3L
111555381	111606910	6	TRAF3IP2
111660332	111873475	6	FYN
112054075	112069686	6	CCN6
112070663	112087529	6	TUBE1
112087122	112104223	6	FAM229B
112106077	112254939	6	LAMA4
112236806	112350094	6	
112347330	112351294	6	RFPL4B
113857345	113863475	6	MARCKS
113933028	114011308	6	HDAC2
114055093	114343209	6	HS3ST5
115931149	116061093	6	FRK
116100837	116249497	6	NT5DC1
116118909	116158747	6	COL10A1
116249964	116254075	6	TSPYL4
116253604	116444861	6	DSE
116267760	116279930	6	TSPYL1
116399395	116463696	6	
116461370	116463968	6	CALHM6
116494989	116545684	6	TRAPPC3L
116511639	116524788	6	CALHM5
116529013	116561127	6	CALHM4
116571409	116597675	6	RWDD1
116616479	116632985	6	RSPH4A
116635616	116668812	6	ZUP1
116681187	116741867	6	KPNA5
116751703	116765719	6	FAM162B
116792085	116829083	6	GPRC6A
116877212	116932161	6	RFX6
117265558	117273618	6	VGLL2
117287353	117425942	6	ROS1
117318211	117573571	6	
117453817	117569858	6	DCBLD1
117560269	117602542	6	GOPC
117675469	117710727	6	NUS1
117907264	118317676	6	SLC35F1
118460772	118710075	6	CEP85L
118543971	118561716	6	PLN
118813442	118935162	6	MCM9
118894152	118909171	6	ASF1A
118959763	119149387	6	FAM184A
119177204	119349767	6	MAN1A1
121079494	121334745	6	TBC1D32
121435577	121449727	6	GJA1
122399551	122433119	6	HSF2
122443348	122471854	6	SERINC1
122471917	122726375	6	PKIB
122779716	122784074	6	FABP7
122789049	122809720	6	SMPDL3A
122996131	123072925	6	CLVS2
123215088	123637260	6	TRDN
123803865	124825640	6	NKAIN2
124962437	125092633	6	RNF217
125119049	125264407	6	TPD52L1
125219962	125302128	6	HDDC2
125747664	125761269	6	HEY2
125780943	125932034	6	NCOA7
125956733	125980244	6	HINT3
125986428	126203817	6	TRMT11
126340115	126348875	6	CENPW
127118663	127199481	6	RSPO3
127266582	127288567	6	RNF146
127288712	127343609	6	ECHDC1
127438406	127459393	6	KIAA0408
127438406	127519001	6	
127472806	127519335	6	MTCL3
127519455	127591820	6	C6orf58
127708072	127918631	6	THEMIS
127968780	128520619	6	PTPRK
128883138	129516566	6	LAMA2
129576132	129710247	6	ARHGAP18
129827945	129861547	6	TMEM244
130013699	130141449	6	L3MBTL3
130144315	130365425	6	SAMD3
130365404	130443424	6	TMEM200A
130827406	130837135	6	SMLR1
130839343	131063361	6	EPB41L2
131135467	131283535	6	AKAP7
131470832	131584332	6	ARG1
131573966	131628242	6	MED23
131628292	131747418	6	ENPP3
131699644	131701401	6	OR2A4
131708441	131711017	6	CTAGE9
131807993	131895155	6	ENPP1
131948176	131951456	6	CCN2
132296055	132401556	6	MOXD1
132445867	132513999	6	STX7
132538277	132539336	6	TAAR9
132552672	132553756	6	TAAR8
132570322	132571359	6	TAAR6
132588592	132589741	6	TAAR5
132617022	132624275	6	TAAR2
132643312	132659182	6	TAAR1
132680849	132719962	6	VNN1
132743870	132763459	6	VNN2
