Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
63349646	63352178	X	SPIN4-AS1
56242937	56243409	X	RPL23AP83
55599663	55600106	X	PSMA5P1
75326772	75327999	X	TERF1P7
76334841	76335845	X	LDHBP2
62842542	62843502	X	MTND1P31
73223124	73223558	X	TOMM20P4
64623117	64624573	X	KRT8P27
21131496	21163726	X	
37349330	38687674	X	
85849410	85850139	X	SFR1P2
80529037	80530027	X	HNRNPH3P1
74396871	74399550	X	THAP12P1
52409772	52410432	X	
80709928	80710705	X	PSMA1P1
75537547	75538702	X	PCNPP4
88369343	88369459	X	
86128893	86129570	X	TPMTP4
75884546	75885136	X	SAR1AP4
77447389	77457278	X	FGF16
79084936	79085848	X	P2RY10BP
88747225	88754785	X	CPXCR1
78519593	78520186	X	HMGN1P34
94319038	94320025	X	TUBB4BP8
36365626	36440292	X	
88908403	88908763	X	
84755136	84756003	X	SETP4
90208895	90209418	X	
62843697	62844306	X	MTND2P25
100149783	100151340	X	CTDSPL2P1
95499604	95500036	X	CALM1P1
79369364	79370165	X	CORO1CP1
82875649	82875885	X	EIF3MP1
78554412	78554751	X	UBE2V1P7
69485343	69485652	X	CYCSP43
90289536	90289903	X	UBE2V1P9
91434595	91438584	X	PABPC5
73077276	73079512	X	PABPC1L2A
89367435	89367600	X	SRIP2
100969708	100990831	X	ARL13A
98389512	98390919	X	EEF1A1P15
80669503	80809877	X	BRWD3
86798598	86799226	X	COPS8P1
87703343	87704203	X	RPSAP15
42723209	42755892	X	
92113246	92114461	X	EIF4A1P10
64432401	64434145	X	SHC1P1
69616067	70039472	X	EDA
90039213	90039834	X	STAU2P1
74473017	74473953	X	HNRNPA1P25
81475532	81498083	X	
78699384	78699891	X	PPATP2
95610578	95610957	X	HNRNPDLP3
86481532	86481813	X	FCF1P9
96195477	96195617	X	RPS29P28
99656997	99657381	X	TEX101P1
86084716	86086339	X	STIP1P3
95973328	95974315	X	KAT7P1
99886740	99887691	X	B3GNT2P1
81363268	81364170	X	
72727977	72728821	X	CAPZA1P3
80929500	80930347	X	VDAC1P1
98251679	98252543	X	RPL6P29
80560146	80562054	X	WBP11P3
70148582	70149654	X	IGBP1-AS2
93776911	93777384	X	USP37P1
98348451	98348748	X	
85851575	85851682	X	
74409518	74410100	X	RPS7P14
75888700	75888888	X	FOXN3P2
87723089	87723238	X	
76427710	76431342	X	MAGEE1
82998699	82999236	X	ATG4AP1
95453369	95453581	X	
75201491	75201790	X	BUD31P2
94636663	94639570	X	PAICSP7
100155885	100156773	X	RPSAP8
88982215	88982353	X	
91307781	91308878	X	
88827554	88829858	X	
87807549	87809883	X	MRPS22P1
87425583	87425690	X	
90209796	90210420	X	RNF19BPX
83559896	83560312	X	POMPP1
75582676	75585506	X	BRAFP1
91560436	91561597	X	SERBP1P4
90112650	90113706	X	USP12PX
81600072	81601306	X	PDK1P2
89423738	89446983	X	
89921908	89922883	X	TGIF2LX
93287733	93288759	X	ST13P18
68771322	68772578	X	ACTR3P2
92459670	92460952	X	KRT18P11
93042490	93042942	X	DLGAP5P2
79323446	79325217	X	KIF4CP
39791580	39791904	X	OOEPP1
98422138	98422809	X	HMGB1P32
95584303	95584942	X	GTF3C6P1
86888586	86888816	X	
76655498	76656559	X	TRAPPC13P1
83506023	83509214	X	
100956593	100957538	X	CSGALNACT2P1
80571871	80574607	X	HK2P1
42098754	42099173	X	ATP5MC2P4
96337236	96337912	X	BRDTP1
73237647	73238709	X	LRRFIP2P1
86066227	86066468	X	NDUFA5P7
96070669	96071778	X	
64144872	64147052	X	
107980864	107982370	X	TEX13B
87707579	87750883	X	
95638375	95638924	X	HNRNPDLP1
102006883	102007294	X	C3orf49P1
91982655	91983505	X	VDAC1P3
99719364	99721158	X	XRCC6P5
75782987	75785254	X	MAGEE2
83748825	83749939	X	TERF1P4
68783472	68785066	X	SERBP1P1
94776739	94777567	X	CCNB1IP1P3
93388075	93389497	X	NT5DC1P1
70037840	70039325	X	
37685791	37732130	X	XK
101720340	101721709	X	
87806433	87806769	X	RPL34P36
25645722	25646327	X	RANBP1P1
93222220	93225015	X	AP2B1P1
11117651	11665920	X	ARHGAP6
44283916	44286246	X	TATDN2P1
75903105	75904858	X	
120981529	120981779	X	
44466691	44468955	X	
95720243	95721144	X	
92770855	92772091	X	TUSC2P2
87143854	87144748	X	
115424064	115425600	X	TUBAP6
50202713	50351914	X	CCNB3
128127090	128128212	X	ACTRT1P1
120932901	120933152	X	
83508290	83512127	X	POU3F4
42150511	42150744	X	
82497669	82497924	X	EIF3JP1
81000150	81004217	X	
92515323	92515497	X	SNX3P1X
72912615	72913401	X	FAM236C
121863698	121864196	X	TPT1P13
131437055	131437670	X	
70120353	70121474	X	MTCYBP31
120937762	120938015	X	
42777366	42778163	X	PPP1R2C
83861126	83886699	X	CYLC1
46454097	46457199	X	VEZTP1
106900063	106903341	X	RIPPLY1
52382053	52385614	X	
70124972	70129071	X	MTND4P31
54671985	54672638	X	PGAM4P1
44476027	44477422	X	FDPSP5
102008524	102009046	X	MTND6P13
120942623	120942875	X	
115198432	115198749	X	RPL36P18
86160264	86161359	X	EEF1A1P29
101911529	101912072	X	
107939263	107939642	X	TMEM230P1
88061590	88062844	X	TMEM184CP1
128313281	128314048	X	RPL7AP72
121871869	121876865	X	
131492279	131492886	X	NLRP7P1
43278125	43279658	X	IMPDH1P4
27977992	27981449	X	DCAF8L1
82506434	82506812	X	RPL22P22
68600099	68600473	X	RPL31P63
63347228	63351332	X	SPIN4
44309314	44310476	X	RRM2P3
46058751	46059528	X	PCNAP3
93573834	93574579	X	RPL7P55
126471705	126472403	X	MTCO1P53
116748530	116748877	X	PRPF4BP1
126163499	126166289	X	DCAF12L2
128098032	128098529	X	
68645326	68645527	X	COX6CP12
120966948	120967199	X	
70062457	70064179	X	OTUD6A
122010976	122011612	X	UBE2V1P16
127390342	127392526	X	PNPLA10P
77374212	77381319	X	SPRYD7P1
86304367	86305086	X	GEMIN8P3
133141300	133143940	X	
88096393	88097225	X	CAPZA1P1
95679130	95679627	X	RPS7P13
121024964	121026563	X	CBLL1P1
115289715	115307563	X	LUZP4
141002594	141003706	X	SPANXB1
121203182	121205014	X	HSPA8P1
115454733	115455194	X	
92676519	92676954	X	RPL26P36
118278159	118283367	X	
126502867	126503155	X	
122242008	122242616	X	
142202342	142205290	X	MAGEC2
27863893	27864349	X	VKORC1P1
115718942	115719229	X	SUMO2P21
149817170	149817644	X	DUTP4
120957227	120957479	X	
123603139	123603931	X	FERP1
115659713	115660022	X	PHF5AP4
127392760	127394771	X	
131204068	131205010	X	OR11Q1P
128122734	128123496	X	BTG3P1
145176582	145176894	X	CYCSP44
101989481	101989872	X	H2BP8
69569635	69576337	X	
133216662	133218354	X	TFDP3
139362040	139362382	X	SNURFL
131221196	131221436	X	
126472728	126472884	X	MTND4LP1
131398072	131398957	X	OR5BH1P
115069237	115069846	X	YAP1P2
142147862	142148866	X	
143508735	143517475	X	SPANXN3
120877496	120878924	X	
120930250	120932301	X	CT47A12
128714506	128715790	X	KRT18P44
147812733	147812974	X	
149825708	149879799	X	LINC00850
120947483	120947735	X	
148198014	148198878	X	HAX1P1
69937166	69938017	X	CNOT7P1
131596121	131596987	X	OR7L1P
123561642	123562966	X	TUBB4AP1
27893348	27894059	X	ORC1P1
142372276	142373990	X	
143284977	143516803	X	
127623410	127623530	X	
136295690	136300298	X	STK24P1
126004446	126006118	X	
143806391	143806733	X	
39367285	39391807	X	LINC01282
149760779	149760874	X	
139446891	139447676	X	SRD5A1P1
106070481	106073202	X	CTDSPL2P2
115518182	115562731	X	PLS3-AS1
142172866	142173989	X	
136487947	136493780	X	BRS3
64224194	64230607	X	ASB12
120933840	120937158	X	CT47A11
145768095	145768342	X	UFM1P1
127728734	127730858	X	
147879361	147885249	X	
155061622	155065519	X	
145232929	145233619	X	
149649174	149650124	X	
120868611	120869807	X	PA2G4P1
64185117	64205708	X	AMER1
128838441	128838834	X	RPL32P35
120952344	120952595	X	
122538253	122539460	X	RPL3P12
141241463	141242517	X	SPANXC
120971808	120972059	X	
148464708	148465428	X	RPL7L1P11
145247503	145256208	X	SPANXN1
153075769	153076968	X	PNMA6B
142194352	142195490	X	
149768897	149771368	X	TMEM185AP1
145630218	145632375	X	TRMT1P1
126472885	126473281	X	MTND4P24
150114378	150116520	X	
131324391	131325313	X	OR11N1P
113347413	113347619	X	
149774068	149776867	X	HSFX1
155061622	155071136	X	CMC4
148546878	148547397	X	AFF2-IT1
120976668	120976919	X	
110636841	110637672	X	M6PRP1
143343976	143344585	X	PGBD4P6
137660519	137662242	X	ZFYVE9P1
149881141	149885835	X	MAGEA8
146964176	146964485	X	
145797375	145798439	X	
127796124	127796733	X	
120986388	120986639	X	
126109762	126115562	X	
120953282	120956600	X	CT47A7
147476324	147476446	X	
143677153	143678362	X	HNRNPH1P2
141111605	141177129	X	LDOC1
144308834	144309080	X	
143433042	143433958	X	MTND1P33
149477104	149540926	X	
141261119	141264213	X	RBMX2P2
153122145	153128323	X	
148498113	148500615	X	
149688228	149717268	X	MAGEA11
151176584	151181465	X	GPR50
72777608	72779097	X	FAM226B
149757797	149757895	X	
151563675	151676739	X	PASD1
149758021	149758295	X	
126729104	126730226	X	MTCYBP38
140931738	140997448	X	
149808214	149809155	X	MAGEA7P
149511509	149526264	X	
153317680	153321767	X	PNMA6F
141380823	141381107	X	NDUFB3P5
149527591	149540959	X	EOLA1-DT
141138478	141139174	X	RPL36AP52
141697411	141698739	X	SPANXD
143434517	143435280	X	MTND2P39
144309132	144309693	X	RRM2P4
146537535	146538048	X	
146553728	146555765	X	ELL2P4
146619597	146620584	X	ANKRD11P2
149525001	149526043	X	IDSP1
154835788	155026940	X	F8
151226229	151227715	X	NAB1P1
144840777	144841660	X	HNRNPCP10
131646639	131646890	X	HDGFP1
126819729	126821786	X	PRR32
117399452	117400081	X	TCERG1P1
120962087	120962339	X	
146809771	146810411	X	CXorf51B
148500617	149000663	X	AFF2
112689915	112690520	X	HMGB3P30
126549383	126552814	X	DCAF12L1
116963049	116963676	X	SETP8
63299247	63299673	X	CBX1P1
131424301	131425239	X	OR1AA1P
121047610	121050094	X	GLUD2
40620701	40622109	X	
129041536	129043183	X	TJAP1P1
115702811	115704120	X	EEF1GP5
128440929	128441785	X	RUVBL2P1
117397938	117398206	X	
121065882	121078538	X	
72301691	72572843	X	
120876552	120876805	X	
155137111	155156503	X	
153355733	153355956	X	
115063936	115064794	X	
155212921	155213638	X	CD84P1
72660470	72660719	X	MATR3P1
136300963	136416890	X	ADGRG4
66497748	66499424	X	PKMP2
153052150	153052413	X	HMGN2P48
75384346	75384828	X	RPL21P134
155258235	155264491	X	RAB39B
147801005	147801302	X	SLIRPP1
93670930	93673578	X	NAP1L3
116688870	116690185	X	SLC6A14P2
108383398	108383993	X	
116669810	116680303	X	SLC6A14P1
46288016	46289128	X	ACTBP1
147591612	147591909	X	
131341570	131342425	X	OR5AW1P
116461686	116462976	X	CT83
91422309	91422538	X	
123558350	123558584	X	
131562729	131563846	X	OR13K1P
141589708	141590762	X	SPANXA2
3572857	3572961	X	RNU6-114P
8126965	8127061	X	MIR651
6061644	6061749	X	
3532117	3532251	X	SNORA48B
11116092	11116193	X	Y_RNA
3641443	3641555	X	Y_RNA
5410122	5410251	X	
6383906	6383963	X	MIR4770
11318614	11318686	X	MIR548AX
3607258	3607365	X	RNU6-146P
16539137	16539439	X	RN7SL658P
11148584	11148769	X	
18395994	18396095	X	Y_RNA
16627012	16627085	X	MIR548AM
9133828	9133946	X	RNA5SP499
20452108	20452431	X	RN7SKP183
21214637	21214743	X	RNU6-133P
21872707	21872808	X	Y_RNA
36021939	36022045	X	RNU6-641P
39081180	39081285	X	RNU6-591P
37870109	37870215	X	RNU6-49P
38023895	38023986	X	MIR548AJ2
35594173	35594273	X	RNU6-1087P
39786524	39786823	X	RN7SL732P
39661216	39661321	X	MIR3937
40535502	40535563	X	RNU7-164P
42174279	42174385	X	RNU6-1124P
42139425	42139530	X	RNU6-630P
46517766	46517868	X	RNU6-50P
46553522	46553775	X	Metazoa_SRP
46073651	46073935	X	Metazoa_SRP
44401603	44401704	X	Y_RNA
50171197	50171297	X	Y_RNA
50003148	50003238	X	MIR532
50003503	50003588	X	MIR188
50008431	50008514	X	MIR500A
50008964	50009028	X	MIR362
50009722	50009805	X	MIR501
50010672	50010750	X	MIR500B
50013241	50013337	X	MIR660
50014598	50014683	X	MIR502
64210691	64210988	X	RN7SL799P
66018870	66018979	X	MIR223
69692956	69693155	X	U3
52336557	52336642	X	MIR8088
55451495	55451582	X	MIR4536-2
70022857	70022923	X	MIR676
75202703	75202809	X	RNU6-562P
55451495	55451582	X	MIR4536-1
77066709	77066827	X	RNA5SP509
69672479	69672597	X	5S_rRNA
72726122	72726337	X	U3
78901194	78901249	X	MIR4328
82561201	82561347	X	
74390692	74390989	X	RN7SL790P
85835780	85835858	X	MIR1321
55582733	55582834	X	Y_RNA
91798093	91798283	X	RNU2-26P
94003815	94003922	X	RNU6-332P
87146733	87146804	X	
86481028	86481130	X	U6
95582064	95582162	X	RNA5SP510
95063141	95063226	X	MIR548M
88148792	88148918	X	
76919273	76919360	X	MIR384
77005404	77005501	X	MIR325
72740706	72740869	X	RNU1-112P
76655009	76655127	X	RNA5SP508
85903636	85903707	X	MIR361
94178005	94178106	X	Y_RNA
86019608	86019715	X	Y_RNA
82001220	82001327	X	RNU6-974P
80936434	80936540	X	RNU6-995P
101915589	101915695	X	RNU6-345P
80900757	80900864	X	RNU6-493P
66676258	66676364	X	RNU6-394P
100100084	100100172	X	
96410432	96410782	X	RN7SKP194
80857076	80857202	X	
108826764	108826869	X	RNU6-309P
109054542	109054590	X	
115032427	115032533	X	RNU6-648P
115126316	115126444	X	SNORA35B
115139030	115139123	X	Y_RNA
115545637	115545717	X	
90597235	90597340	X	RNU6-555P
107901145	107901246	X	Y_RNA
96023360	96023652	X	RN7SL379P
116850839	116850945	X	RNU6-1323P
116400848	116400953	X	RNU6-154P
121370972	121371053	X	MIR3672
122840426	122840645	X	U3
112919132	112919230	X	RNU6-1015P
133152754	133152892	X	
138397351	138397628	X	RN7SKP31
136550878	136550960	X	MIR934
141118030	141118136	X	RNU6-3P
143197248	143197591	X	RN7SKP149
146427456	146427572	X	RNA5SP517
142411053	142411171	X	RNA5SP516
147281943	147282030	X	MIR514A2
147279247	147279344	X	MIR514A1
143090347	143090677	X	RN7SKP81
140926172	140926219	X	MIR320D2
137595265	137595547	X	RN7SL325P
145992750	145992826	X	MIR892C
147284641	147284728	X	MIR514A3
145994275	145994351	X	MIR890
137687891	137687994	X	RNU6-985P
145994784	145994860	X	MIR888
145996669	145996743	X	MIR892A
145997198	145997274	X	MIR892B
146001053	146001131	X	MIR891B
133238657	133238816	X	RNU1-115P
147272335	147272408	X	MIR510
146027794	146027872	X	MIR891A
136571705	136571815	X	Y_RNA
151168222	151168326	X	MIR4330
151275509	151275789	X	Metazoa_SRP
148822164	148822448	X	RN7SKP267
145057108	145057437	X	RN7SKP189
147189704	147189787	X	MIR513C
147199044	147199127	X	MIR513B
147213463	147213591	X	MIR513A1
147225826	147225952	X	MIR513A2
147230720	147230843	X	MIR506
147230984	147231077	X	MIR507
147236913	147237027	X	MIR508
147250151	147250230	X	MIR514B
147258760	147258850	X	MIR509-2
147259652	147259726	X	MIR509-3
147260532	147260625	X	MIR509-1
147827279	147827384	X	RNU6-382P
47273366	47274390	X	NICN2P
47280811	47281063	X	RN7SL785P
47297852	47298721	X	
47388649	47388777	X	SNORA11C
47389961	47392300	X	
47438736	47439774	X	NPM1P49
47476822	47477152	X	Metazoa_SRP
47575128	47628742	X	
47587429	47587505	X	MIR4769
47718002	47719099	X	SMSP1
47776827	47778697	X	
47803296	47804789	X	WASF4P
47840963	47841702	X	RPL7P57
71314912	71315879	X	ZCRB1P1
71368666	71368968	X	Metazoa_SRP
71413834	71414086	X	
71420083	71420514	X	PABPN1P1
71491066	71491167	X	Y_RNA
71527814	71530225	X	SOCS6P1
71615916	71618511	X	CXCR3
155290360	155291353	X	TWF1P2
155292169	155293432	X	PHF10P1
155310247	155310490	X	SRD5A2P1
155383100	155383198	X	MIR1184-2
155457517	155457615	X	MIR1184-3
155459415	155460005	X	H2AB3
155828585	155829576	X	AMD1P2
155875636	155875885	X	DPH3P2
155978992	155979325	X	ELOCP24
155985370	155986249	X	TRPC6P1
156004218	156022236	X	
156025664	156027877	X	DDX11L16
154144243	154159032	X	OPN1LW
154182596	154196861	X	OPN1MW
154196471	154213487	X	TEX28P1
154233615	154251288	X	TEX28P3
154400281	154400415	X	SNORA70
154450320	154450386	X	MIR6858
154483717	154486615	X	UBL4A
154495815	154496113	X	RN7SL697P
154580926	154581998	X	ATF4P2
154605858	154605950	X	
26345236	26346242	X	
26496936	26505603	X	FMN2P1
26657291	26657507	X	
26686026	26687955	X	RPL7P58
26748029	26749090	X	HMGA1P1
26790142	26790286	X	RNU1-142P
85143427	85156444	X	
85207187	85210649	X	
67373573	67375520	X	
67533163	67533987	X	
67791955	67792895	X	BMI1P1
103850797	103850911	X	RNA5SP511
103904322	103904754	X	H2BP9
103909126	103909449	X	
103910305	103911352	X	ELF2P1
103928099	103929017	X	SLC25A53P1
103961811	103962279	X	DPPA3P1
11668401	11757718	X	MSL3-DT
11704123	11705590	X	LIMK2P1
11758159	11775772	X	MSL3
12054824	12054926	X	Y_RNA
12149126	12149238	X	Y_RNA
12373167	12375133	X	FRMPD4-AS1
12395757	12396167	X	RPL17P49
12583415	12583526	X	
12614003	12614197	X	RN7SKP290
12825840	12826833	X	PSMA6P2
12844865	12845430	X	MRPL35P4
12867072	12890361	X	TLR7
12902817	12908333	X	TLR8-AS1
52448587	52451138	X	
52480836	52481131	X	
52481515	52483950	X	
52485046	52485912	X	RBM22P6
52495808	52500812	X	XAGE1A
52509903	52510182	X	RBM22P7
52531709	52532051	X	
52561769	52562301	X	
52598494	52603289	X	SSX14P
52606535	52611758	X	SSX11P
52612656	52613523	X	
52644061	52654900	X	SSX7
52655207	52657254	X	
52665231	52665347	X	RNA5SP504
52672718	52677051	X	SSX15P
52687363	52687633	X	S100A11P10
52707602	52709933	X	
52722338	52722524	X	
52735901	52736107	X	
52770809	52771080	X	S100A11P8
52781452	52785786	X	SSX21P
52796144	52797427	X	SPANXN5
52832704	52833899	X	EIF4A2P4
113522482	113522989	X	PPIHP2
113882590	113883667	X	QTRT1P1
113944186	113944399	X	U3
113949917	113950082	X	RNU1-57P
113976341	113976633	X	RN7SL93P
114017033	114017102	X	SNORD30
119646738	119646848	X	MIR766
17282637	17283093	X	CBX1P4
17357930	17358033	X	
17425881	17425954	X	MIR4768
17528435	17587160	X	
17552349	17557387	X	NHS-AS1
17705339	17705691	X	CHP1P3
17769005	17769398	X	FAM136GP
155456914	155458620	X	F8A3
73002939	73006106	X	PABPC1L2B
115189410	115192868	X	RBMXL3
52751132	52790305	X	SSX2B
72938163	72938958	X	FAM236A
149929573	149931287	X	HSFX4
153334147	153360110	X	ZNF275
47370578	47414498	X	ZNF157
69504326	69532508	X	NALF2
153072454	153075019	X	PNMA6A
41292798	41292916	X	RNA5SP502
41316488	41316589	X	Y_RNA
41322601	41323111	X	SHISA5P1
41345576	41345876	X	RN7SL15P
41472264	41472653	X	GEMIN7P1
41570923	41571029	X	RNU6-1321P
41675760	41676494	X	YWHAZP10
41683168	41683462	X	RN7SL144P
41748222	41748608	X	RPS15AP39
41790192	41790250	X	
41919254	41919349	X	RNU6-202P
77727867	77728080	X	FABP5P15
77837289	77837395	X	RNU6-854P
77885377	77885634	X	RN7SL460P
48306769	48309055	X	
48322349	48326683	X	SSX19P
48333675	48334439	X	
48336899	48337169	X	S100A11P9
48346427	48356707	X	SSX3
48357125	48359495	X	
48371905	48372095	X	
48383516	48393347	X	SSX4
48412303	48415285	X	
48423342	48423468	X	
48446893	48448879	X	
48521806	48545469	X	
48524480	48524806	X	Metazoa_SRP
10061222	10061323	X	Y_RNA
10242339	10365323	X	
10582817	10582919	X	RNU6-800P
15319452	15335554	X	PIGA
53093710	53094858	X	
53113018	53113274	X	
53142832	53143913	X	ACTG1P10
53164391	53164557	X	
53195411	53195488	X	MIR6895
53198889	53198945	X	MIR6894
53212408	53214679	X	KDM5C-IT1
53322990	53323822	X	RPSAP62
53324562	53324674	X	Y_RNA
53337783	53337973	X	
53340986	53341505	X	MPV17L2P1
53405673	53405765	X	MIR6857
53432722	53433032	X	
53456273	53457029	X	TIPINP1
53462209	53462310	X	VTRNA3-1P
140397062	140398311	X	EEDP1
140451148	140451208	X	U7
140470866	140471274	X	RPS17P17
140502985	140505069	X	SOX3
153662162	153662692	X	RPL18AP16
153666226	153666510	X	RN7SL687P
153841251	153841565	X	CYCSP45
153872221	153909223	X	
153981097	153981177	X	MIR3202-1
153981098	153981176	X	MIR3202-2
154019920	154019989	X	MIR718
101325404	101325510	X	RNU6-934P
101391011	101412297	X	RPL36A-HNRNPH2
153604497	153605348	X	KRT18P48
71016531	71016905	X	NUTF2P7
71020275	71020438	X	RNU1-56P
71103889	71106788	X	CXorf65
71103987	71111575	X	
53556223	53556341	X	MIR98
53557192	53557274	X	MIRLET7F2
74583088	74583546	X	PABPC1P3
74680053	74680159	X	RNU6-330P
74769639	74769798	X	
74732856	74925472	X	NEXMIF
44741087	44741964	X	RPSAP61
44772773	44773061	X	RN7SL291P
44844021	44844888	X	DUSP21
71691932	71692179	X	
71736454	71736703	X	
71744828	71745077	X	
71789386	71789636	X	
71848775	71849004	X	
135942478	135947139	X	CT45A11P
136077844	136078631	X	GAPDHP67
136097835	136098348	X	E2F6P4
136134317	136134420	X	
107428630	107429461	X	KRT18P49
107628428	107651993	X	PRPS1
49341192	49345922	X	GAGE2E
49529869	49529985	X	GAGE12B
49632500	49633349	X	VDAC1P2
49664844	49668680	X	SALL1P1
49687447	49695984	X	PAGE1
150228004	150228083	X	MIR2114
150231075	150232896	X	XRCC6P2
136788286	136788787	X	
136791064	136791780	X	RPL7P56
136840931	136847797	X	
136847384	136848034	X	RAB28P5
136947748	136948133	X	RPL22P23
136976417	136985705	X	SRRM1P3
137023929	137033995	X	GPR101
103626076	103626492	X	TCEAL3-AS1
49205063	49233371	X	CACNA1F
49233956	49234501	X	HSPB1P2
49273054	49275768	X	
49279677	49281440	X	
48056310	48066583	X	ZNF630-AS1
48135658	48136159	X	
48153868	48155941	X	
48153980	48154074	X	RNU6-707P
48156367	48166350	X	SSX13P
48177731	48178023	X	S100A11P5
48197221	48199431	X	
48206258	48206374	X	RNA5SP503
48212791	48218010	X	SSX20P
48228833	48228959	X	S100A11P7
48244894	48245745	X	
48279423	48281792	X	
56563627	56567868	X	UBQLN2
77504880	77786233	X	ATRX
108044970	108079184	X	VSIG1
100584936	100599885	X	TNMD
100801188	100803060	X	RAD21P1
100822620	100822752	X	
57068914	57069685	X	SPIN2P1
50649641	50649740	X	RNU6-935P
130497785	130520309	X	
130545586	130546474	X	
130645723	130646325	X	SPRING1P2
131058346	131089885	X	ARHGAP36
131134086	131134390	X	RN7SL191P
102247167	102326722	X	NXF2
102259043	102261692	X	
102425343	102428080	X	
79177200	79177668	X	CTHRC1P1
15561047	15675608	X	
15646167	15646875	X	
15716208	15716346	X	
15785716	15787589	X	INE2
15916189	15916303	X	RNU5F-7P
15917548	15918631	X	SETP15
55044749	55045121	X	
55054945	55055838	X	HDGFL3P1
55089018	55092842	X	PAGE2
55101637	55102026	X	
55137930	55142433	X	
55172717	55176026	X	
55178207	55178737	X	MTCO1P52
55179194	55179999	X	MTND2P24
55180377	55181277	X	MTND1P30
112780718	112780788	X	MIR4329
112855874	112856162	X	RN7SL266P
154620096	154620171	X	
154622428	154623500	X	ATF4P1
154658741	154659643	X	OR3B1P
131803312	131803741	X	PNKDP1
131937670	131937853	X	
131938846	131938956	X	RNA5SP514
132130091	132131352	X	AGKP2
65408084	65408672	X	TLE1P1
65469087	65470380	X	AP1M2P1
65550898	65552421	X	FRMD8P1
30617454	30617693	X	CKS1BP6
30630298	30630825	X	FTLP2
30671635	30672166	X	GK-IT1
30698207	30721932	X	
30699998	30724174	X	GK-AS1
30821815	30823407	X	
30834623	30835300	X	TAB3-AS1
30854321	30854707	X	TAB3-AS2
