Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
7842262	7844143	X	VCX
111511645	111522399	X	SERTM2
77910690	78050395	X	ATP7A
18639688	18672108	X	RS1
24360639	24367839	X	SUPT20HL1
48761747	48773648	X	GLOD5
48826513	48830138	X	ERAS
24308210	24314069	X	SUPT20HL2
101418287	101533459	X	ARMCX4
11822423	12724523	X	FRMPD4
154823348	154834662	X	SMIM9
119078635	119150579	X	KIAA1210
146814106	146814744	X	CXorf51A
48004336	48009733	X	SPACA5
135829229	135837280	X	CT45A7
154477775	154479281	X	LAGE3
133023168	133097109	X	USP26
132626015	132961395	X	HS6ST2
36719829	36720573	X	H2AL1Q
70177483	70205704	X	DGAT2L6
70234655	70240659	X	AWAT1
70258166	70260204	X	P2RY4
70268305	70281840	X	ARR3
70282093	70285002	X	RAB41
111768011	112082776	X	TRPC5
125319871	125325216	X	TEX13C
110358848	110456334	X	RTL9
37008366	37011664	X	FAM47C
102360395	102471812	X	
71107404	71112108	X	IL2RG
110194186	110440318	X	AMMECR1
153179284	153183880	X	MAGEA1
153266152	153279145	X	PWWP4
119072993	119076765	X	CT47C1
124227868	124373197	X	SH2D1A
12906620	12923169	X	TLR8
13035617	13044682	X	FAM9C
135713639	135723539	X	CT45A1
135775852	135785503	X	CT45A5
10015254	10144474	X	WWC3
102215298	102229532	X	TCP11X1
102456862	102471842	X	TCP11X2
48786540	48794311	X	GATA1
111876051	111903990	X	TRPC5OS
139581770	139708216	X	MCF2
143025928	143034702	X	SPANXN4
35798342	35803772	X	MAGEB16
154257582	154271090	X	OPN1MW3
37994272	37994904	X	H2AL3
26160601	26162410	X	MAGEB6B
141583674	141584738	X	SPANXA1
102360395	102440008	X	NXF2B
154271265	154295853	X	TEX28
143711955	143720752	X	SPANXN2
149414877	149415506	X	
30304206	30309390	X	NR0B1
134990991	134992473	X	SMIM10
38269163	38327544	X	RPGR
64915802	65034713	X	ZC4H2
31097677	33339609	X	DMD
49258343	49270477	X	
119942834	119992838	X	RHOXF1P3
120072264	120077690	X	RHOXF2B
120158613	120165630	X	RHOXF2
72204657	72239027	X	ERCC6L
153395639	153401392	X	PNMA6E
100913445	100929433	X	XKRX
14529298	14731812	X	GLRA2
72127110	72131915	X	RTL5
13770939	13938638	X	GPM6B
74304180	74305034	X	ZCCHC13
104039956	104042454	X	H2BW2
139726346	139945276	X	ATP11C
10566888	10576955	X	
53225828	53321350	X	IQSEC2
10445310	10833654	X	MID1
154295795	154330350	X	TKTL1
71910845	72161750	X	NHSL2
28587446	29956718	X	IL1RAPL1
103075810	103093143	X	NXF3
104566199	105767829	X	IL1RAPL2
105218929	105220694	X	TEX13A
143884071	143885255	X	UBE2NL
48913182	48919024	X	PIM2
101393273	101408012	X	GLA
102140476	102142970	X	TCEAL6
49053572	49069857	X	CCDC120
1190490	1212723	X	CRLF2
52811287	52818301	X	XAGE5
135890182	135913062	X	SAGE1
71667542	71671527	X	
124375903	125204312	X	TENM1
63754485	63754664	X	
154021573	154137103	X	MECP2
23783278	23783367	X	
49879484	49882558	X	USP27X
152708261	152721661	X	CSAG2
22999960	23003589	X	DDX53
135059685	135123952	X	SMIM10L2B-AS1
135391849	135392207	X	
27460207	27463341	X	PPP4R3C
50910735	50916641	X	BMP15
56818298	56995827	X	SPIN3
1615059	1643081	X	ASMT
118632375	118634616	X	RBBP8P1
22272913	22274461	X	CBLL2
71095851	71103535	X	FOXO4
51332231	51337525	X	NUDT10
51406948	51408843	X	EZHIP
51490011	51496592	X	NUDT11
51617020	51618912	X	CENPVL3
51681212	51682831	X	CENPVL2
51710512	51712131	X	CENPVL1
37571569	37684463	X	LANCL3
40834445	40934085	X	
45730995	45732455	X	
96684712	97604997	X	DIAPH2
96883908	96885467	X	RPA4
102712495	102753530	X	ARMCX5-GPRASP2
102937272	102938300	X	RAB40AL
119588337	119606443	X	NKRF
135020513	135022542	X	RTL8B
135032355	135033546	X	RTL8C
135050932	135052196	X	RTL8A
110346103	110440372	X	GNG5B
57592011	57597477	X	ZXDB
57677067	57680260	X	NLRP2B
57905430	57910458	X	ZXDA
141838316	141897832	X	MAGEC3
141903894	141909374	X	MAGEC1
135248590	135252011	X	
135271717	135309803	X	ETDC
135305788	135306402	X	
9786429	9949443	X	SHROOM2
9786429	9968352	X	
9961424	9968352	X	CLDN34
85092284	85243911	X	SATL1
153444473	153470587	X	TREX2
106611930	106679439	X	RADX
136648158	136660390	X	CD40LG
110520312	110523021	X	CRIPTO3
68828992	68842160	X	EFNB1
46599251	46759193	X	SLC9A7
132369320	132489978	X	MBNL3
67543353	67730619	X	AR
49922596	50099235	X	CLCN5
153972754	153983194	X	TMEM187
13569601	13633575	X	EGFL6
115110616	115234096	X	LRCH2
155997696	156013017	X	IL9R
87517409	87670050	X	KLHL4
37836757	37847571	X	DYNLT3
112082965	112458566	X	RTL4
132203024	132219495	X	RAP2C
53094142	53170914	X	KANTR
73212299	73215239	X	NAP1L2
107123427	107206505	X	NUP62CL
106693794	106797016	X	RNF128
129645259	129654959	X	APLN
49071161	49074017	X	PRAF2
30827442	30975084	X	TAB3
43948772	43973395	X	NDP
155064034	155147937	X	MTCP1
119535669	119565409	X	STEEP1
101219769	101264502	X	DRP2
106802673	106876150	X	TBC1D8B
78656068	78659532	X	RTL3
71212811	71225519	X	GJB1
85276746	85379755	X	POF1B
79144678	79175318	X	GPR174
136532154	136556807	X	VGLL1
55143102	55161310	X	VCF2
153935269	153944687	X	RENBP
119236244	119244468	X	PGRMC1
138614727	139222777	X	FGF13
48903180	48911958	X	SLC35A2
34627075	34657285	X	TMEM47
46497725	46545457	X	ZNF674
55075030	55078909	X	PAGE2B
129738949	129769547	X	XPNPEP2
153411434	153426481	X	ZFP92
105822394	105958611	X	NRK
55009055	55030986	X	ALAS2
3040235	3112822	X	ARSF
52512077	52520803	X	XAGE1B
120505920	120604074	X	CUL4B
119399336	119454478	X	SLC25A43
107774899	107795829	X	NCBP2L
114584078	114910061	X	HTR2C
85003871	85093315	X	APOOL
53048789	53080615	X	GPR173
134769566	134797232	X	PABIR2
56729219	56819179	X	NBDY
41724181	41730130	X	GPR82
50586796	50814302	X	SHROOM4
6533618	6535118	X	VCX3A
54931434	54998534	X	PFKFB1
23907807	23939509	X	CXorf58
106900125	106930862	X	CLDN2
78945332	78963727	X	P2RY10
69160721	69165521	X	PJA1
23334318	23404374	X	PTCHD1
15235288	15270467	X	ASB9
45148373	45200963	X	DIPK2B
49250436	49264800	X	FOXP3
48676593	48691431	X	WAS
106032425	106038778	X	SERPINA7
18675909	18827921	X	PPEF1
38327598	38424632	X	OTC
100291644	100410296	X	PCDH19
49162564	49168774	X	MAGIX
73447053	73455171	X	CDX4
84058346	84206356	X	RPS6KA6
103273689	103276750	X	TCEAL5
152749857	152754145	X	MAGEA2
151912495	151925173	X	MAGEA4
68498562	68537282	X	YIPF6
135344199	135363413	X	ZNF449
49028726	49043476	X	TFE3
153861511	153886204	X	L1CAM
77895727	77907376	X	COX7B
85861180	86047561	X	CHM
72181353	72302926	X	PIN4
104063871	104076236	X	TMSB15C
53532096	53686752	X	HUWE1
70423031	70433710	X	GDPD2
151694607	151705924	X	PRRG3
20124525	20141982	X	EIF1AX
38801417	38806537	X	MID1IP1
5840637	6228867	X	NLGN4X
71056332	71073426	X	SNX12
152733757	152737679	X	MAGEA12
65034788	65507887	X	ZC3H12B
47142071	47145466	X	NDUFB11
71578437	71613584	X	GCNA
150980509	150990775	X	HMGB3
40648305	40735877	X	MED14
17737115	17754988	X	SCML1
14690388	14873255	X	FANCB
134237047	134246842	X	CCDC160
103252863	103255204	X	TCEAL8
152826994	152830782	X	CETN2
119474802	119591083	X	UBE2A
55000331	55009057	X	APEX2
54192823	54358642	X	WNK3
119895837	119920720	X	AKAP14
78747680	78758724	X	LPAR4
130401922	130413656	X	RBMX2
137563314	137577691	X	ZIC3
48893447	48898143	X	TIMM17B
76173034	76178755	X	PBDC1
70925575	70931149	X	SLC7A3
152714580	152718612	X	MAGEA2B
152753921	152760222	X	CSAG3
107825755	107931637	X	MID2
8528874	8732195	X	ANOS1
130124666	130165879	X	AIFM1
112625372	112680180	X	LHFPL1
102720688	102753540	X	GPRASP3
154487306	154490690	X	SLC10A3
135879471	135893444	X	CT45A10
135960588	135974029	X	MMGT1
152766136	152769716	X	MAGEA6
50365405	50470850	X	DGKK
102513674	102516795	X	TMSB15A
70290067	70420886	X	KIF4A
120250752	120259741	X	ZBTB33
133535745	133987100	X	GPC3
71533083	71575892	X	OGT
46573391	46598496	X	CHST7
134796389	134854835	X	PABIR3
104112060	104115847	X	ZCCHC18
18239307	18355149	X	SCML2
132023226	132075948	X	STK26
80335504	80445311	X	TENT5D
111665811	111760649	X	ALG13
119871796	119876689	X	NDUFA1
103356461	103358472	X	TCEAL9
9724039	9786297	X	GPR143
30243715	30252041	X	MAGEB1
155612298	155782459	X	SPRY3
130202707	130268899	X	ZNF280C
24465244	24550466	X	PDK3
153929225	153935080	X	NAA10
53936676	54048958	X	PHF8
152727484	152733736	X	CSAG1
57134530	57137679	X	SPIN2A
23664262	23686399	X	PRDX4
12975107	12977227	X	TMSB4X
7898247	7927739	X	PNPLA4
49551278	49568218	X	GAGE12F
123600561	123733056	X	THOC2
151396515	151409364	X	VMA21
49331582	49338949	X	GAGE13
152166234	152451425	X	GABRA3
111245099	111270483	X	CAPN6
103710909	103714036	X	TMEM31
153802166	153830930	X	PDZD4
101390824	101396155	X	RPL36A
154379244	154381574	X	EMD
101098167	101166126	X	CENPI
152698767	152702347	X	MAGEA3
54445454	54496234	X	FGD1
21839610	21885423	X	MBTPS2
49532177	49539539	X	GAGE12C
14873421	14922327	X	MOSPD2
2486414	2502862	X	ZBED1
49171787	49175235	X	PLP2
53176277	53225422	X	KDM5C
48960982	48971866	X	KCND1
103376299	103378301	X	BEX3
47651792	47659187	X	UXT
93673181	93712274	X	FAM133A
333933	386955	X	PPP2R3B
71239617	71255269	X	ZMYM3
40049815	40177329	X	BCOR
71118543	71144103	X	MED12
120594010	120621159	X	MCTS1
41445383	41475710	X	NYX
153447655	153495516	X	HAUS7
49589496	49596827	X	GAGE2A
153642401	153651326	X	DUSP9
118823824	118826968	X	ZCCHC12
151714192	151723194	X	FATE1
101345652	101349001	X	TIMM8A
72301638	72309652	X	CITED1
119468395	119471396	X	SLC25A5
21705978	21758176	X	SMPX
48539684	48562609	X	TBC1D25
150692971	150765165	X	MTMR1
13712244	13734635	X	TRAPPC2
11111299	11123086	X	HCCS
16786432	16844519	X	TXLNG
135248590	135344113	X	ZNF75D
46447255	46497422	X	KRBOX4
16946658	17153272	X	REPS2
155881227	155943769	X	VAMP7
100671783	100732151	X	SYTL4
49269793	49301461	X	PPP1R3F
103496541	103526752	X	RAB40A
155025980	155060304	X	FUNDC2
102650345	102659083	X	GPRASP1
15464246	15556529	X	BMX
101408114	101414137	X	HNRNPH2
147911858	147951125	X	FMR1
75051048	75156732	X	ABCB7
152896695	152973511	X	ZNF185
65588377	65741936	X	MSN
63634967	63809274	X	ARHGEF9
153764186	153779346	X	PLXNB3
70133345	70166324	X	IGBP1
51803007	51902357	X	MAGED1
101009346	101052135	X	TRMT2B
154675249	154751583	X	GAB3
153517637	153582939	X	ATP2B3
154010504	154019927	X	IRAK1
66594384	66639298	X	EDA2R
104099214	104157009	X	SLC25A53
110673856	110796192	X	CHRDL1
77825747	77899271	X	MAGT1
79360384	79367697	X	ITM2A
15825806	15854931	X	AP1S2
72255679	72277312	X	RPS4X
54807599	54816015	X	MAGED2
103918896	103966712	X	TMSB15B
154444103	154450654	X	FAM50A
102125130	102140426	X	TCEAL2
101349338	101390796	X	BTK
16587950	16712976	X	CTPS2
123960212	124422664	X	STAG2
30653359	30731462	X	GK
102712056	102717733	X	GPRASP2
154428618	154436517	X	ATP6AP1
71366131	71532374	X	TAF1
136213220	136256482	X	MAP7D3
23699396	23766475	X	ACOT9
52891306	52908560	X	FAM156B
103309345	103311298	X	BEX2
102153464	102156017	X	BEX5
110944285	111227361	X	PAK3
15384799	15493635	X	PIR
48973719	49002265	X	GRIPAP1
108084202	108091619	X	PSMD10
135520622	135582534	X	INTS6L
10156943	10237660	X	CLCN4
149476988	149521096	X	IDS
19360056	19515508	X	MAP3K15
118345968	118450285	X	WDR44
19343893	19361718	X	PDHA1
53374149	53422728	X	SMC1A
102599168	102604159	X	ARMCX5
53421951	53431624	X	RIBC1
57118551	57121840	X	SPIN2B
100820369	100841523	X	CSTF2
53431258	53434371	X	HSD17B10
15688830	15788411	X	CA5B
119615724	119693949	X	SEPTIN6
15345594	15384509	X	VEGFD
154389955	154409168	X	RPL10
155276211	155334673	X	CLIC2
108439745	108697547	X	COL4A5
24148976	24216255	X	ZFX
150568417	150673143	X	MTM1
129539849	129592561	X	OCRL
119786497	119791662	X	RPL39
38561498	38689249	X	TSPAN7
120258650	120311556	X	TMEM255A
54529900	54621565	X	GNL3L
48589838	48608869	X	WDR13
46836928	46889240	X	RP2
70444835	70505490	X	DLG3
67949349	68434120	X	OPHN1
70040542	70049988	X	AWAT2
44523639	44542972	X	FUNDC1
149581653	149587459	X	MAGEA9B
129446501	129523947	X	SMARCA1
100843324	100874464	X	NOX1
134565837	134764355	X	PLAC1
47571901	47619858	X	SYN1
107713221	107777342	X	TSC22D3
84317874	84502496	X	HDX
47983356	48071893	X	ZNF630
47561182	47571921	X	ARAF
48476021	48486364	X	FTSJ1
47582408	47586789	X	TIMP1
77910739	78129295	X	PGK1
119833808	119853083	X	UPF3B
48922024	48958386	X	OTUD5
123859693	123913972	X	XIAP
103769047	103792677	X	PLP1
108091668	108154671	X	ATG4A
130622325	130903272	X	ENOX2
48574056	48581162	X	RBM3
17799788	17861337	X	RAI2
48801377	48824986	X	HDAC6
153587925	153600045	X	CCNQ
120426148	120469365	X	LAMP2
19912860	19991097	X	BCLAF3
47621537	47630305	X	CFP
117897794	118117340	X	KLHL13
20149911	20267519	X	RPS6KA3
136146702	136211359	X	FHL1
133300103	133416214	X	GPC4
3604340	3713649	X	PRKX
109624244	109733403	X	ACSL4
154762742	154777697	X	DKC1
101615118	101618003	X	ARMCX6
52184767	52192268	X	MAGED4
103062645	103064342	X	BEX1
15627085	15675377	X	CLTRN
149929527	149938831	X	EOLA2
49074433	49101203	X	WDR45
15494566	15607236	X	ACE2
47190713	47215173	X	UBA1
103607451	103629690	X	TCEAL3
150766336	150898816	X	CD99L2
18892298	18984988	X	PHKA2
136848004	136880764	X	RBMX
2903972	2929405	X	ARSD
78271468	78327691	X	CYSLTR1
13689122	13710504	X	RAB9A
120362085	120383249	X	ATP1B4
154458280	154477779	X	PLXNA3
153669730	153689033	X	PNCK
154778684	154821039	X	MPP1
47078190	47094419	X	RGN
136665547	136781688	X	ARHGEF6
153687926	153696591	X	SLC6A8
30557707	30577766	X	TASL
48458537	48470554	X	SLC38A5
21940709	21994837	X	SMS
48695554	48709016	X	SUV39H1
120109050	120245267	X	RHOXF1
41514934	41923660	X	CASK
134373286	134428792	X	PHF6
41688973	41698371	X	GPR34
66162483	66268910	X	HEPH
129906121	129929761	X	UTP14A
52926402	52995564	X	FAM156A
110002631	110184260	X	TMEM164
109535781	109544698	X	NXT2
71143286	71175255	X	NLGN3
104166453	104195902	X	FAM199X
2690988	2741312	X	CD99
115003975	115019977	X	IL13RA2
2828571	2890109	X	GYG2
130063955	130110904	X	ELF4
276322	303358	X	PLCXD1
153785735	153794535	X	IDH3G
72329516	72573101	X	HDAC8
153781001	153785768	X	SRPK3
72578814	72714327	X	PHKA1
74582976	74614627	X	RLIM
154506159	154516882	X	FAM3A
136496932	136513181	X	HTATSF1
41333348	41364472	X	DDX3X
55484616	55489874	X	USP51
55717743	55758774	X	RRAGB
71254270	71301522	X	NONO
37349309	37492702	X	PRRG1
134887613	134915470	X	MOSPD1
56232356	56291531	X	KLF8
153902531	153907166	X	AVPR2
49235444	49250526	X	CCDC22
153946434	153972427	X	HCFC1
49174802	49186528	X	PRICKLE3
1462572	1537187	X	P2RY8
101622797	101627843	X	ARMCX3
103576231	103590165	X	TCEAL4
47974851	48004375	X	ZNF182
54440402	54448032	X	TSR2
103330178	103332326	X	TCEAL7
155488606	155719107	X	TMLHE
116436606	116461458	X	SLC6A14
49113396	49123746	X	GPKOW
13653078	13681964	X	TCEANC
74421383	74533918	X	SLC16A2
118974614	119022925	X	LONRF3
108155607	108439497	X	COL4A6
103215068	103217246	X	BEX4
111293779	111412429	X	DCX
52368577	52375680	X	XAGE2
38006515	38128819	X	SYTL5
44146255	44343850	X	EFHC2
43766400	43882559	X	MAOB
12791355	12824223	X	PRPS2
7147237	7804358	X	STS
6667865	7148165	X	PUDP
120625674	120630054	X	C1GALT1C1
81202005	81298547	X	SH3BGRL
103822327	103835153	X	RAB9B
52061827	52069272	X	MAGED4B
154436600	154443467	X	GDI1
15790106	15830694	X	ZRSR2
101550411	101554704	X	ARMCX1
1335025	1382689	X	IL3RA
103628701	103630958	X	TCEAL1
106168304	106208963	X	PWWP3B
154348524	154374638	X	FLNA
15281697	15315640	X	ASB11
143622790	143636101	X	SLITRK4
135973841	136047269	X	SLC9A6
118727133	118794535	X	IL13RA1
154409456	154421726	X	TAFAZZIN
13998099	14029928	X	GEMIN8
154401236	154412114	X	DNASE1L1
107052095	107118823	X	RBM41
48508574	48520814	X	PORCN
48890197	48903640	X	PQBP1
100627108	100639991	X	TSPAN6
101882288	101932090	X	ZMAT1
106813871	107000254	X	MORC4
81112915	81202016	X	HMGN5
47836471	48002561	X	ZNF81
118495814	118686974	X	DOCK11
129803288	129844215	X	ZDHHC9
145817819	145829856	X	SLITRK2
131273506	131578899	X	IGSF1
149536605	149550510	X	EOLA1
53082326	53088541	X	TSPYL2
119920672	119943751	X	NKAP
303346	318846	X	GTPBP6
75156388	75304885	X	UPRT
1386133	1392929	X	SLC25A6
47144284	47186814	X	RBM10
44873130	45112779	X	KDM6A
1403138	1453786	X	ASMTL
49793653	49834264	X	PAGE4
43654907	43746821	X	MAOA
27590281	27749942	X	DCAF8L2
70281118	70290596	X	PDZD11
13734675	13777955	X	OFD1
48831088	48835632	X	PCSK1N
150361422	150514178	X	MAMLD1
16839283	16870372	X	RBBP7
154541179	154565047	X	IKBKG
154517825	154547584	X	G6PD
37780018	37816994	X	CYBB
75368427	75523502	X	ZDHHC15
47444693	47483247	X	ZNF41
49187807	49200218	X	SYP
80014753	80031908	X	TBX22
153698006	153725957	X	BCAP31
66021738	66040125	X	VSIG4
16719545	16765340	X	SYAP1
2934045	2968475	X	ARSL
153907367	153934999	X	ARHGAP4
153724495	153744755	X	ABCD1
54920462	54931436	X	TRO
48521089	48528716	X	EBP
1268779	1325373	X	CSF2RA
23833353	23908070	X	APOO
153793516	153798505	X	SSR4
152830967	152869729	X	NSDHL
47631621	47650604	X	ELK1
38149336	38220941	X	SRPX
115560928	115650861	X	PLS3
134460155	134520513	X	HPRT1
20006713	20117065	X	MAP7D2
47232866	47248328	X	USP11
9463258	9741037	X	TBL1X
107206611	107244247	X	DNAAF6
71301747	71305371	X	ITGB1BP2
19533977	19887650	X	SH3KBP1
123184023	123490915	X	GRIA3
130171950	130184874	X	RAB33A
103675360	103688158	X	MORF4L2
47217860	47230000	X	CDK16
116170744	116174974	X	AGTR2
101655157	101659924	X	ARMCX2
18989307	19122956	X	ADGRG2
155197007	155239841	X	VBP1
1591604	1602532	X	AKAP17A
40626921	40647569	X	CXorf38
153488654	153510299	X	BGN
41085431	41236579	X	USP9X
24054911	24078810	X	EIF2S3
78129748	78139688	X	TAF9B
65438549	65534818	X	LAS1L
23983716	24027186	X	KLHL15
24693864	24996986	X	POLA1
85243839	85273422	X	ZNF711
57286632	57490641	X	FAAH2
40579372	40606848	X	ATP6AP2
