Gene stable ID,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene name
ENSG00000169551,135156540,135171398,X,CT55
ENSG00000238210,135252061,135253583,X,ETDA
ENSG00000178947,135421944,135428075,X,SMIM10L2A
ENSG00000274183,154884972,154885558,X,H2AB1
ENSG00000288722,154886355,154888061,X,F8A1
ENSG00000101890,109372906,109482086,X,GUCY2F
ENSG00000176076,109623700,109625172,X,KCNE5
ENSG00000277858,155380709,155381299,X,H2AB2
ENSG00000288709,155382095,155383801,X,F8A2
ENSG00000205667,3006546,3034111,X,ARSH
ENSG00000226784,77967949,77969638,X,PGAM4
ENSG00000102078,130339888,130373361,X,SLC25A14
ENSG00000147262,130379449,130385674,X,GPR119
ENSG00000102174,22032325,22494713,X,PHEX
ENSG00000099399,30215563,30220089,X,MAGEB2
ENSG00000120289,30242000,30244187,X,MAGEB4
ENSG00000102287,151953124,151974680,X,GABRE
ENSG00000147234,107449652,107605255,X,FRMPD3
ENSG00000126950,101078879,101096367,X,TMEM35A
ENSG00000130066,23783173,23786210,X,SAT1
ENSG00000171054,131544074,131545000,X,OR13H1
ENSG00000171478,48130626,48132620,X,SPACA5B
ENSG00000130052,68647666,68725842,X,STARD8
ENSG00000198798,30230657,30237495,X,MAGEB3
ENSG00000215113,71763349,71767204,X,CXorf49B
ENSG00000166160,154219756,154233286,X,OPN1MW2
ENSG00000225396,72807425,72808210,X,FAM236D
ENSG00000123165,128050962,128052403,X,ACTRT1
ENSG00000215115,71714371,71718285,X,CXorf49
ENSG00000184033,154617609,154619282,X,CTAG1B
ENSG00000126890,154651972,154653579,X,CTAG2
ENSG00000126016,112774503,112840831,X,AMOT
ENSG00000204279,55258415,55264916,X,PAGE3
ENSG00000269791,48402082,48411960,X,SSX4B
ENSG00000236371,120982476,120985760,X,CT47A1
ENSG00000238205,40623428,40624136,X,MPC1L
ENSG00000184911,72776890,72848803,X,DMRTC1B
ENSG00000124343,2752040,2816500,X,XG
ENSG00000123569,104011147,104013708,X,H2BW1
ENSG00000102290,91779261,92623230,X,PCDH11X
ENSG00000183837,153056409,153060467,X,PNMA3
ENSG00000269502,72872025,72943837,X,DMRTC1
ENSG00000101981,139530739,139563459,X,F9
ENSG00000176988,147981337,148026665,X,FMR1NB
ENSG00000124260,152133310,152138578,X,MAGEA10
ENSG00000171402,52862525,52868083,X,XAGE3
ENSG00000165694,132076990,132128020,X,FRMD7
ENSG00000101825,3308565,3346652,X,MXRA5
ENSG00000227488,49541733,49549094,X,GAGE12D
ENSG00000216649,49551289,49558645,X,GAGE12E
ENSG00000215269,49570400,49577754,X,GAGE12G
ENSG00000224902,49579949,49587301,X,GAGE12H
ENSG00000205777,49599020,49608538,X,GAGE1
ENSG00000215274,49303646,49319841,X,GAGE10
ENSG00000224659,49322037,49329384,X,GAGE12J
ENSG00000268089,152637895,152657542,X,GABRQ
ENSG00000198883,152988824,152994116,X,PNMA5
ENSG00000188158,17375200,17735994,X,NHS
ENSG00000184083,54068324,54183281,X,FAM120C
ENSG00000269556,149596556,149631912,X,TMEM185A
ENSG00000126733,86148451,86832604,X,DACH2
ENSG00000123594,13318647,13320053,X,ATXN3L
ENSG00000205642,8464830,8466510,X,VCX3B
ENSG00000185515,155071420,155123077,X,BRCC3
ENSG00000185448,34129752,34132314,X,FAM47A
ENSG00000282419,124246249,124336863,X,TEX13D
ENSG00000183862,151734746,151745564,X,CNGA2
ENSG00000185960,624344,659411,X,SHOX
ENSG00000204116,73563197,73687111,X,CHIC1
ENSG00000236446,120872607,120875866,X,CT47B1
ENSG00000230707,140091678,140092911,X,HAPSTR2
ENSG00000241476,52696896,52707178,X,SSX2
ENSG00000182583,7842262,7844143,X,VCX
ENSG00000260802,111511645,111522399,X,SERTM2
ENSG00000165240,77910690,78050395,X,ATP7A
ENSG00000102104,18639688,18672108,X,RS1
ENSG00000223731,24360639,24367839,X,SUPT20HL1
ENSG00000171433,48761747,48773648,X,GLOD5
ENSG00000187682,48826513,48830138,X,ERAS
ENSG00000223611,24308210,24314069,X,SUPT20HL2
ENSG00000196440,101418287,101533459,X,ARMCX4
ENSG00000169933,11822423,12724523,X,FRMPD4
ENSG00000203870,154823348,154834662,X,SMIM9
ENSG00000250423,119078635,119150579,X,KIAA1210
ENSG00000224440,146814106,146814744,X,CXorf51A
ENSG00000171489,48004336,48009733,X,SPACA5
ENSG00000273696,135829229,135837280,X,CT45A7
ENSG00000196976,154477775,154479281,X,LAGE3
ENSG00000134588,133023168,133097109,X,USP26
ENSG00000171004,132626015,132961395,X,HS6ST2
ENSG00000249467,36719829,36720573,X,H2AL1Q
ENSG00000184210,70177483,70205704,X,DGAT2L6
ENSG00000204195,70234655,70240659,X,AWAT1
ENSG00000186912,70258166,70260204,X,P2RY4
ENSG00000120500,70268305,70281840,X,ARR3
ENSG00000147127,70282093,70285002,X,RAB41
ENSG00000072315,111768011,112082776,X,TRPC5
ENSG00000282815,125319871,125325216,X,TEX13C
ENSG00000243978,110358848,110456334,X,RTL9
ENSG00000198173,37008366,37011664,X,FAM47C
ENSG00000284800,102360395,102471812,X,
ENSG00000147168,71107404,71112108,X,IL2RG
ENSG00000101935,110194186,110440318,X,AMMECR1
ENSG00000198681,153179284,153183880,X,MAGEA1
ENSG00000278803,153266152,153279145,X,PWWP4
ENSG00000277535,119072993,119076765,X,CT47C1
ENSG00000183918,124227868,124373197,X,SH2D1A
ENSG00000101916,12906620,12923169,X,TLR8
ENSG00000187268,13035617,13044682,X,FAM9C
ENSG00000268940,135713639,135723539,X,CT45A1
ENSG00000228836,135775852,135785503,X,CT45A5
ENSG00000047644,10015254,10144474,X,WWC3
ENSG00000268235,102215298,102229532,X,TCP11X1
ENSG00000215029,102456862,102471842,X,TCP11X2
ENSG00000102145,48786540,48794311,X,GATA1
ENSG00000204025,111876051,111903990,X,TRPC5OS
ENSG00000101977,139581770,139708216,X,MCF2
ENSG00000189326,143025928,143034702,X,SPANXN4
ENSG00000189023,35798342,35803772,X,MAGEB16
ENSG00000269433,154257582,154271090,X,OPN1MW3
ENSG00000229674,37994272,37994904,X,H2AL3
ENSG00000232030,26160601,26162410,X,MAGEB6B
ENSG00000198021,141583674,141584738,X,SPANXA1
ENSG00000269437,102360395,102440008,X,NXF2B
ENSG00000278057,154271265,154295853,X,TEX28
ENSG00000268988,143711955,143720752,X,SPANXN2
ENSG00000287585,149414877,149415506,X,
ENSG00000169297,30304206,30309390,X,NR0B1
ENSG00000184785,134990991,134992473,X,SMIM10
ENSG00000156313,38269163,38327544,X,RPGR
ENSG00000126970,64915802,65034713,X,ZC4H2
ENSG00000198947,31097677,33339609,X,DMD
ENSG00000290184,49258343,49270477,X,
ENSG00000282933,119942834,119992838,X,RHOXF1P3
ENSG00000203989,120072264,120077690,X,RHOXF2B
ENSG00000131721,120158613,120165630,X,RHOXF2
ENSG00000186871,72204657,72239027,X,ERCC6L
ENSG00000214897,153395639,153401392,X,PNMA6E
ENSG00000182489,100913445,100929433,X,XKRX
ENSG00000101958,14529298,14731812,X,GLRA2
ENSG00000242732,72127110,72131915,X,RTL5
ENSG00000046653,13770939,13938638,X,GPM6B
ENSG00000187969,74304180,74305034,X,ZCCHC13
ENSG00000101812,104039956,104042454,X,H2BW2
ENSG00000101974,139726346,139945276,X,ATP11C
ENSG00000291314,10566888,10576955,X,
ENSG00000124313,53225828,53321350,X,IQSEC2
ENSG00000101871,10445310,10833654,X,MID1
ENSG00000007350,154295795,154330350,X,TKTL1
ENSG00000204131,71910845,72161750,X,NHSL2
ENSG00000169306,28587446,29956718,X,IL1RAPL1
ENSG00000147206,103075810,103093143,X,NXF3
ENSG00000189108,104566199,105767829,X,IL1RAPL2
ENSG00000268629,105218929,105220694,X,TEX13A
ENSG00000276380,143884071,143885255,X,UBE2NL
ENSG00000102096,48913182,48919024,X,PIM2
ENSG00000102393,101393273,101408012,X,GLA
ENSG00000204071,102140476,102142970,X,TCEAL6
ENSG00000147144,49053572,49069857,X,CCDC120
ENSG00000205755,1190490,1212723,X,CRLF2
ENSG00000171405,52811287,52818301,X,XAGE5
ENSG00000181433,135890182,135913062,X,SAGE1
ENSG00000283599,71667542,71671527,X,
ENSG00000009694,124375903,125204312,X,TENM1
ENSG00000288661,63754485,63754664,X,
ENSG00000169057,154021573,154137103,X,MECP2
ENSG00000288706,23783278,23783367,X,
ENSG00000273820,49879484,49882558,X,USP27X
ENSG00000268902,152708261,152721661,X,CSAG2
ENSG00000184735,22999960,23003589,X,DDX53
ENSG00000228372,135059685,135123952,X,SMIM10L2B-AS1
ENSG00000293663,135391849,135392207,X,
ENSG00000224960,27460207,27463341,X,PPP4R3C
ENSG00000130385,50910735,50916641,X,BMP15
ENSG00000204271,56818298,56995827,X,SPIN3
ENSG00000196433,1615059,1643081,X,ASMT
ENSG00000230399,118632375,118634616,X,RBBP8P1
ENSG00000175809,22272913,22274461,X,CBLL2
ENSG00000184481,71095851,71103535,X,FOXO4
ENSG00000122824,51332231,51337525,X,NUDT10
ENSG00000187690,51406948,51408843,X,EZHIP
ENSG00000196368,51490011,51496592,X,NUDT11
ENSG00000224109,51617020,51618912,X,CENPVL3
ENSG00000283093,51681212,51682831,X,CENPVL2
ENSG00000223591,51710512,51712131,X,CENPVL1
ENSG00000147036,37571569,37684463,X,LANCL3
ENSG00000300293,40834445,40934085,X,
ENSG00000310562,45730995,45732455,X,
ENSG00000147202,96684712,97604997,X,DIAPH2
ENSG00000204086,96883908,96885467,X,RPA4
ENSG00000286237,102712495,102753530,X,ARMCX5-GPRASP2
ENSG00000102128,102937272,102938300,X,RAB40AL
ENSG00000186416,119588337,119606443,X,NKRF
ENSG00000212747,135020513,135022542,X,RTL8B
ENSG00000134590,135032355,135033546,X,RTL8C
ENSG00000203950,135050932,135052196,X,RTL8A
ENSG00000133136,110346103,110440372,X,GNG5B
ENSG00000198455,57592011,57597477,X,ZXDB
ENSG00000215174,57677067,57680260,X,NLRP2B
ENSG00000198205,57905430,57910458,X,ZXDA
ENSG00000165509,141838316,141897832,X,MAGEC3
ENSG00000155495,141903894,141909374,X,MAGEC1
ENSG00000293661,135248590,135252011,X,
ENSG00000283644,135271717,135309803,X,ETDC
ENSG00000293662,135305788,135306402,X,
ENSG00000146950,9786429,9949443,X,SHROOM2
ENSG00000310579,9786429,9968352,X,
ENSG00000234469,9961424,9968352,X,CLDN34
ENSG00000184788,85092284,85243911,X,SATL1
ENSG00000183479,153444473,153470587,X,TREX2
ENSG00000147231,106611930,106679439,X,RADX
ENSG00000102245,136648158,136660390,X,CD40LG
ENSG00000225366,110520312,110523021,X,CRIPTO3
ENSG00000090776,68828992,68842160,X,EFNB1
ENSG00000065923,46599251,46759193,X,SLC9A7
ENSG00000076770,132369320,132489978,X,MBNL3
ENSG00000169083,67543353,67730619,X,AR
ENSG00000171365,49922596,50099235,X,CLCN5
ENSG00000177854,153972754,153983194,X,TMEM187
ENSG00000198759,13569601,13633575,X,EGFL6
ENSG00000130224,115110616,115234096,X,LRCH2
ENSG00000124334,155997696,156013017,X,IL9R
ENSG00000102271,87517409,87670050,X,KLHL4
ENSG00000165169,37836757,37847571,X,DYNLT3
ENSG00000187823,112082965,112458566,X,RTL4
ENSG00000123728,132203024,132219495,X,RAP2C
ENSG00000232593,53094142,53170914,X,KANTR
ENSG00000186462,73212299,73215239,X,NAP1L2
ENSG00000198088,107123427,107206505,X,NUP62CL
ENSG00000133135,106693794,106797016,X,RNF128
ENSG00000171388,129645259,129654959,X,APLN
ENSG00000243279,49071161,49074017,X,PRAF2
ENSG00000157625,30827442,30975084,X,TAB3
ENSG00000124479,43948772,43973395,X,NDP
ENSG00000214827,155064034,155147937,X,MTCP1
ENSG00000018610,119535669,119565409,X,STEEP1
ENSG00000102385,101219769,101264502,X,DRP2
ENSG00000133138,106802673,106876150,X,TBC1D8B
ENSG00000179300,78656068,78659532,X,RTL3
ENSG00000169562,71212811,71225519,X,GJB1
ENSG00000124429,85276746,85379755,X,POF1B
ENSG00000147138,79144678,79175318,X,GPR174
ENSG00000102243,136532154,136556807,X,VGLL1
ENSG00000182518,55143102,55161310,X,VCF2
ENSG00000102032,153935269,153944687,X,RENBP
ENSG00000101856,119236244,119244468,X,PGRMC1
ENSG00000129682,138614727,139222777,X,FGF13
ENSG00000102100,48903180,48911958,X,SLC35A2
ENSG00000147027,34627075,34657285,X,TMEM47
ENSG00000251192,46497725,46545457,X,ZNF674
ENSG00000238269,55075030,55078909,X,PAGE2B
ENSG00000122121,129738949,129769547,X,XPNPEP2
ENSG00000189420,153411434,153426481,X,ZFP92
ENSG00000123572,105822394,105958611,X,NRK
ENSG00000158578,55009055,55030986,X,ALAS2
ENSG00000062096,3040235,3112822,X,ARSF
ENSG00000204382,52512077,52520803,X,XAGE1B
ENSG00000158290,120505920,120604074,X,CUL4B
ENSG00000077713,119399336,119454478,X,SLC25A43
ENSG00000170935,107774899,107795829,X,NCBP2L
ENSG00000147246,114584078,114910061,X,HTR2C
ENSG00000155008,85003871,85093315,X,APOOL
ENSG00000184194,53048789,53080615,X,GPR173
ENSG00000156504,134769566,134797232,X,PABIR2
ENSG00000204272,56729219,56819179,X,NBDY
ENSG00000171657,41724181,41730130,X,GPR82
ENSG00000158352,50586796,50814302,X,SHROOM4
ENSG00000169059,6533618,6535118,X,VCX3A
ENSG00000158571,54931434,54998534,X,PFKFB1
ENSG00000165182,23907807,23939509,X,CXorf58
ENSG00000165376,106900125,106930862,X,CLDN2
ENSG00000078589,78945332,78963727,X,P2RY10
ENSG00000181191,69160721,69165521,X,PJA1
ENSG00000165186,23334318,23404374,X,PTCHD1
ENSG00000102048,15235288,15270467,X,ASB9
ENSG00000147113,45148373,45200963,X,DIPK2B
ENSG00000049768,49250436,49264800,X,FOXP3
ENSG00000015285,48676593,48691431,X,WAS
ENSG00000123561,106032425,106038778,X,SERPINA7
ENSG00000086717,18675909,18827921,X,PPEF1
ENSG00000036473,38327598,38424632,X,OTC
ENSG00000165194,100291644,100410296,X,PCDH19
ENSG00000269313,49162564,49168774,X,MAGIX
ENSG00000131264,73447053,73455171,X,CDX4
ENSG00000072133,84058346,84206356,X,RPS6KA6
ENSG00000204065,103273689,103276750,X,TCEAL5
ENSG00000268606,152749857,152754145,X,MAGEA2
ENSG00000147381,151912495,151925173,X,MAGEA4
ENSG00000181704,68498562,68537282,X,YIPF6
ENSG00000173275,135344199,135363413,X,ZNF449
ENSG00000068323,49028726,49043476,X,TFE3
ENSG00000198910,153861511,153886204,X,L1CAM
ENSG00000131174,77895727,77907376,X,COX7B
ENSG00000188419,85861180,86047561,X,CHM
ENSG00000102309,72181353,72302926,X,PIN4
ENSG00000269226,104063871,104076236,X,TMSB15C
ENSG00000086758,53532096,53686752,X,HUWE1
ENSG00000130055,70423031,70433710,X,GDPD2
ENSG00000130032,151694607,151705924,X,PRRG3
ENSG00000173674,20124525,20141982,X,EIF1AX
ENSG00000165175,38801417,38806537,X,MID1IP1
ENSG00000146938,5840637,6228867,X,NLGN4X
ENSG00000147164,71056332,71073426,X,SNX12
ENSG00000213401,152733757,152737679,X,MAGEA12
ENSG00000102053,65034788,65507887,X,ZC3H12B
ENSG00000147123,47142071,47145466,X,NDUFB11
ENSG00000147174,71578437,71613584,X,GCNA
ENSG00000029993,150980509,150990775,X,HMGB3
ENSG00000180182,40648305,40735877,X,MED14
ENSG00000047634,17737115,17754988,X,SCML1
ENSG00000181544,14690388,14873255,X,FANCB
ENSG00000203952,134237047,134246842,X,CCDC160
ENSG00000180964,103252863,103255204,X,TCEAL8
ENSG00000147400,152826994,152830782,X,CETN2
ENSG00000077721,119474802,119591083,X,UBE2A
ENSG00000169188,55000331,55009057,X,APEX2
ENSG00000196632,54192823,54358642,X,WNK3
ENSG00000186471,119895837,119920720,X,AKAP14
ENSG00000147145,78747680,78758724,X,LPAR4
ENSG00000134597,130401922,130413656,X,RBMX2
ENSG00000156925,137563314,137577691,X,ZIC3
ENSG00000126768,48893447,48898143,X,TIMM17B
ENSG00000102390,76173034,76178755,X,PBDC1
ENSG00000165349,70925575,70931149,X,SLC7A3
ENSG00000183305,152714580,152718612,X,MAGEA2B
ENSG00000268916,152753921,152760222,X,CSAG3
ENSG00000080561,107825755,107931637,X,MID2
ENSG00000011201,8528874,8732195,X,ANOS1
ENSG00000156709,130124666,130165879,X,AIFM1
ENSG00000182508,112625372,112680180,X,LHFPL1
ENSG00000198908,102720688,102753540,X,GPRASP3
ENSG00000126903,154487306,154490690,X,SLC10A3
ENSG00000269586,135879471,135893444,X,CT45A10
ENSG00000169446,135960588,135974029,X,MMGT1
ENSG00000197172,152766136,152769716,X,MAGEA6
ENSG00000274588,50365405,50470850,X,DGKK
ENSG00000158164,102513674,102516795,X,TMSB15A
ENSG00000090889,70290067,70420886,X,KIF4A
ENSG00000177485,120250752,120259741,X,ZBTB33
ENSG00000147257,133535745,133987100,X,GPC3
ENSG00000147162,71533083,71575892,X,OGT
ENSG00000147119,46573391,46598496,X,CHST7
ENSG00000156500,134796389,134854835,X,PABIR3
ENSG00000166707,104112060,104115847,X,ZCCHC18
ENSG00000102098,18239307,18355149,X,SCML2
ENSG00000134602,132023226,132075948,X,STK26
ENSG00000174016,80335504,80445311,X,TENT5D
ENSG00000101901,111665811,111760649,X,ALG13
ENSG00000125356,119871796,119876689,X,NDUFA1
ENSG00000185222,103356461,103358472,X,TCEAL9
ENSG00000101850,9724039,9786297,X,GPR143
ENSG00000214107,30243715,30252041,X,MAGEB1
ENSG00000168939,155612298,155782459,X,SPRY3
ENSG00000056277,130202707,130268899,X,ZNF280C
ENSG00000067992,24465244,24550466,X,PDK3
ENSG00000102030,153929225,153935080,X,NAA10
ENSG00000172943,53936676,54048958,X,PHF8
ENSG00000198930,152727484,152733736,X,CSAG1
ENSG00000147059,57134530,57137679,X,SPIN2A
ENSG00000123131,23664262,23686399,X,PRDX4
ENSG00000205542,12975107,12977227,X,TMSB4X
ENSG00000006757,7898247,7927739,X,PNPLA4
ENSG00000236362,49551278,49568218,X,GAGE12F
ENSG00000125676,123600561,123733056,X,THOC2
ENSG00000160131,151396515,151409364,X,VMA21
ENSG00000274274,49331582,49338949,X,GAGE13
ENSG00000011677,152166234,152451425,X,GABRA3
ENSG00000077274,111245099,111270483,X,CAPN6
ENSG00000179363,103710909,103714036,X,TMEM31
ENSG00000067840,153802166,153830930,X,PDZD4
ENSG00000241343,101390824,101396155,X,RPL36A
ENSG00000102119,154379244,154381574,X,EMD
ENSG00000102384,101098167,101166126,X,CENPI
ENSG00000221867,152698767,152702347,X,MAGEA3
ENSG00000102302,54445454,54496234,X,FGD1
ENSG00000012174,21839610,21885423,X,MBTPS2
ENSG00000237671,49532177,49539539,X,GAGE12C
ENSG00000130150,14873421,14922327,X,MOSPD2
ENSG00000214717,2486414,2502862,X,ZBED1
ENSG00000102007,49171787,49175235,X,PLP2
ENSG00000126012,53176277,53225422,X,KDM5C
ENSG00000102057,48960982,48971866,X,KCND1
ENSG00000166681,103376299,103378301,X,BEX3
ENSG00000126756,47651792,47659187,X,UXT
ENSG00000179083,93673181,93712274,X,FAM133A
ENSG00000167393,333933,386955,X,PPP2R3B
ENSG00000147130,71239617,71255269,X,ZMYM3
ENSG00000183337,40049815,40177329,X,BCOR
